,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon,regulator,in_iM,y_ome
b2254,arnC,U00096.3,,2367071,2368039,+,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase,Lipid transport and metabolism,P77757,Op2228,"YbiH,BasR",True,False
b2255,arnA,U00096.3,,2368039,2370021,+,fused UDP-4-amino-4-deoxy-L-arabinose formyltransferase/UDP-glucuronate dehydrogenase,Lipid transport and metabolism,P77398,Op2229,BasR,True,False
b2256,arnD,U00096.3,,2370018,2370908,+,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,Carbohydrate transport and metabolism,P76472,Op2230,BasR,False,True
b2257,arnT,U00096.3,,2370908,2372560,+,lipid IVA 4-amino-4-deoxy-L-arabinosyltransferase,Lipid transport and metabolism,P76473,Op2231,BasR,False,False
b4544,arnE,U00096.3,,2372557,2372892,+,undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnE subunit,Inorganic ion transport and metabolism,Q47377,Op2232,BasR,False,False
b2258,arnF,U00096.3,,2372892,2373278,+,undecaprenyl-phosphate-alpha-L-Ara4N flippase - ArnF subunit,Inorganic ion transport and metabolism,P76474,Op2233,BasR,False,False
b2259,pmrD,U00096.3,,2373272,2373538,-,signal transduction protein PmrD,Function unknown,P37590,Op2234,,False,True
b2260,menE,U00096.3,,2373648,2375003,-,o-succinylbenzoate--CoA ligase,Coenzyme transport and metabolism,P37353,Op2235,ppGpp,True,False
b2261,menC,U00096.3,,2375000,2375962,-,o-succinylbenzoate synthase,Coenzyme transport and metabolism,P29208,Op2236,,False,False
b2262,menB,U00096.3,,2375962,2376819,-,1%2C4-dihydroxy-2-naphthoyl-CoA synthase,Coenzyme transport and metabolism,P0ABU0,Op2237,,False,False
b2263,menH,U00096.3,,2376834,2377592,-,2-succinyl-6-hydroxy-2%2C4-cyclohexadiene-1-carboxylate synthase,Coenzyme transport and metabolism,P37355,Op2238,ppGpp,False,False
b2264,menD,U00096.3,,2377589,2379259,-,2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase,Coenzyme transport and metabolism,P17109,Op2239,ppGpp,True,False
b2265,menF,U00096.3,,2379348,2380643,-,isochorismate synthase MenF,Coenzyme transport and metabolism,P38051,Op2240,,False,False
b2266,elaB,U00096.3,,2380722,2381027,-,tail-anchored inner membrane protein ElaB,Function unknown,P0AEH5,Op2241,"RpoS,ppGpp,OxyR",True,True
b2267,elaA,U00096.3,,2381082,2381543,-,putative acetyltransferase ElaA,Function unknown,P0AEH3,Op2242,,False,True
b2268,rbn,U00096.3,,2381608,2382525,+,ribonuclease BN,Function unknown,P0A8V0,Op2243,RpoD,False,False
b2269,elaD,U00096.3,,2382713,2383924,+,protease ElaD,"Post-translational modification, protein turnover, and chaperones",Q47013,Op2244,,False,False
b2270,yfbK,U00096.3,,2383995,2385722,-,IPR002035/DUF3520 domain-containing protein YfbK,Function unknown,P76481,Op2245,"YbiH,Nac",False,True
b2271,yfbL,U00096.3,,2385860,2386831,+,putative peptidase YfbL,Function unknown,P76482,Op2246,Nac,False,True
b2272,yfbM,U00096.3,,2386934,2387437,+,DUF1877 domain-containing protein YfbM,Function unknown,P76483,Op2247,,False,True
b2273,yfbN,U00096.3,,2387710,2388426,-,uncharacterized protein YfbN,No COG annotation,P76484,Op2248,GlaR,False,True
b2274,yfbO,U00096.3,,2388635,2389057,+,uncharacterized protein YfbO,No COG annotation,P76485,Op2249,GlaR,False,True
b2275,yfbP,U00096.3,,2389116,2389964,+,uncharacterized protein YfbP,Function unknown,P76486,Op2250,,False,True
b2276,nuoN,U00096.3,,2390048,2391505,-,NADH:quinone oxidoreductase subunit N,Energy production and conversion,P0AFF0,Op2251,"RpoD,NarL,OmpR,ArcA,IHF,Fis,Fnr,ryhB",True,False
b2277,nuoM,U00096.3,,2391512,2393041,-,NADH:quinone oxidoreductase subunit M,Energy production and conversion,P0AFE8,Op2252,"RpoD,ryhB,NarL,ArcA,IHF,Fis,Fnr",True,False
b2278,nuoL,U00096.3,,2393205,2395046,-,NADH:quinone oxidoreductase subunit L,Energy production and conversion,P33607,Op2253,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,False
b2279,nuoK,U00096.3,,2395043,2395345,-,NADH:quinone oxidoreductase subunit K,Energy production and conversion,P0AFE4,Op2254,"RpoD,NarL,ArcA,IHF,Fnr,Fis,ryhB",True,False
b2280,nuoJ,U00096.3,,2395342,2395896,-,NADH:quinone oxidoreductase subunit J,Energy production and conversion,P0AFE0,Op2255,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,False
b2281,nuoI,U00096.3,,2395908,2396450,-,NADH:quinone oxidoreductase subunit I,Energy production and conversion,P0AFD6,Op2256,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,False
b2282,nuoH,U00096.3,,2396465,2397442,-,NADH:quinone oxidoreductase subunit H,Energy production and conversion,P0AFD4,Op2257,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,False
b2283,nuoG,U00096.3,,2397439,2400165,-,NADH:quinone oxidoreductase subunit G,Energy production and conversion,P33602,Op2258,"RpoD,YidZ,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,False
b2284,nuoF,U00096.3,,2400218,2401555,-,NADH:quinone oxidoreductase subunit F,Energy production and conversion,P31979,Op2259,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,False
b2285,nuoE,U00096.3,,2401552,2402052,-,NADH:quinone oxidoreductase subunit E,Energy production and conversion,P0AFD1,Op2260,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",True,False
b2286,nuoC,U00096.3,,2402055,2403845,-,NADH:quinone oxidoreductase subunit CD,Energy production and conversion,P33599,Op2261,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",False,False
b2287,nuoB,U00096.3,,2403951,2404613,-,NADH:quinone oxidoreductase subunit B,Energy production and conversion,P0AFC7,Op2262,"RpoD,NarL,ArcA,IHF,Fis,Fnr,ryhB",False,False
b2288,nuoA,U00096.3,,2404629,2405072,-,NADH:quinone oxidoreductase subunit A,Energy production and conversion,P0AFC3,Op2263,"RpoD,NarL,ArcA,IHF,Fis,Fnr,Lrp,ryhB",False,False
b2289,lrhA,U00096.3,,2405703,2406641,-,DNA-binding transcriptional dual regulator LrhA,Transcription,P36771,Op2264,"YciT,YbcM,LrhA,Lrp",False,False
b2290,alaA,U00096.3,,2407561,2408778,+,glutamate--pyruvate aminotransferase AlaA,Amino acid transport and metabolism,P0A959,Op2265,"RpoH,Lrp",True,False
b2291,yfbR,U00096.3,,2408862,2409461,+,dCMP phosphohydrolase,Nucleotide transport and metabolism,P76491,Op2266,"RpoH,CysB",False,False
b2292,yfbS,U00096.3,,2409520,2411352,-,putative transporter YfbS,Inorganic ion transport and metabolism,P0AFU2,Op2267,YcjW,False,True
b2293,hxpA,U00096.3,,2411439,2412089,-,hexitol phosphatase A,Function unknown,P77625,Op2268,GlaR,False,False
b2294,yfbU,U00096.3,,2412100,2412594,-,PF03887 family protein YfbU,Function unknown,P0A8W8,Op2269,"ppGpp,GlaR",False,True
b2295,yfbV,U00096.3,,2412677,2413132,-,PF04217 family membrane protein YfbV,Function unknown,P0A8D9,Op2270,"YheO,Nac",False,True
b2296,ackA,U00096.3,,2413470,2414672,+,acetate kinase,Nucleotide transport and metabolism,P0A6A3,Op2271,"YheO,RpoH,Fnr,ArcA,Nac,CreB,SdhX",True,False
b2297,pta,U00096.3,,2414747,2416891,+,phosphate acetyltransferase,Energy production and conversion,P0A9M8,Op2272,"RpoD,YheO,CreB",True,False
b2298,yfcC,U00096.3,,2417081,2418601,+,putative transporter YfcC,Function unknown,P39263,Op2273,"YeiE,ppGpp,ArgR,Lrp",False,True
b2299,yfcD,U00096.3,,2418634,2419176,-,putative Nudix hydrolase YfcD,Lipid transport and metabolism,P65556,Op2274,,False,True
b2300,yfcE,U00096.3,,2419234,2419788,-,phosphodiesterase YfcE,Function unknown,P67095,Op2275,,False,False
b2301,yfcF,U00096.3,,2419841,2420485,-,glutathione S-transferase YfcF,"Post-translational modification, protein turnover, and chaperones",P77544,Op2276,ppGpp,False,False
b2302,yfcG,U00096.3,,2420621,2421268,+,disulfide bond oxidoreductase YfcG,"Post-translational modification, protein turnover, and chaperones",P77526,Op2277,,True,False
b2303,folX,U00096.3,,2421325,2421687,+,dihydroneopterin triphosphate 2'-epimerase,Coenzyme transport and metabolism,P0AC19,Op2278,fnrS,False,False
b2304,yfcH,U00096.3,,2421708,2422601,+,epimerase family protein YfcH,Function unknown,P77775,Op2279,fnrS,False,True
b2305,rpnB,U00096.3,,2422649,2423539,-,recombination-promoting nuclease RpnB,Function unknown,P77768,Op2280,,True,True
b2306,hisP,U00096.3,,2423736,2424509,-,lysine/arginine/ornithine ABC transporter/histidine ABC transporter%2C ATP binding subunit,Inorganic ion transport and metabolism,P07109,Op2281,"RpoD,RpoN,H-NS,NtrC,ArgR,ppGpp",True,False
b2307,hisM,U00096.3,,2424517,2425233,-,lysine/arginine/ornithine ABC transporter/histidine ABC transporter%2C membrane subunit HisM,Amino acid transport and metabolism,P0AEU3,Op2282,"RpoD,RpoN,H-NS,NtrC,ArgR,ppGpp",True,False
b2308,hisQ,U00096.3,,2425230,2425916,-,lysine/arginine/ornithine ABC transporter/histidine ABC transporter%2C membrane subunit HisQ,Inorganic ion transport and metabolism,P52094,Op2283,"RpoD,RpoN,H-NS,NtrC,ArgR,ppGpp",True,False
b2309,hisJ,U00096.3,,2426006,2426788,-,histidine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,P0AEU0,Op2284,"RpoD,YidZ,RpoN,H-NS,NtrC,ArgR,ppGpp",True,False
b2310,argT,U00096.3,,2427009,2427791,-,lysine/arginine/ornithine ABC transporter periplasmic binding protein,Amino acid transport and metabolism,P09551,Op2285,"YcjW,RpoN,gcvB,NtrC,ppGpp,Lrp,ArcA",True,False
b2311,ubiX,U00096.3,,2428057,2428626,-,flavin prenyltransferase,Coenzyme transport and metabolism,P0AG03,Op2286,"RpoD,PurR",False,False
b2312,purF,U00096.3,,2428721,2430238,-,amidophosphoribosyltransferase,Nucleotide transport and metabolism,P0AG16,Op2287,"RpoD,ppGpp,PurR",True,False
b2313,cvpA,U00096.3,,2430275,2430763,-,colicin V production protein,Function unknown,P08550,Op2288,"RpoD,ppGpp,PurR,ArgR",True,True
b2314,dedD,U00096.3,,2431022,2431684,-,cell division protein DedD,"Cell cycle control, cell division, chromosome partitioning",P09549,Op2289,,False,False
b2315,folC,U00096.3,,2431674,2432942,-,bifunctional folylpolyglutamate synthetase/dihydrofolate synthetase,Coenzyme transport and metabolism,P08192,Op2290,YcjW,False,False
b2316,accD,U00096.3,,2433012,2433926,-,acetyl-CoA carboxyltransferase subunit beta,Lipid transport and metabolism,P0A9Q5,Op2291,"RpoD,FadR,AccDA",False,False
b2317,dedA,U00096.3,,2434082,2434741,-,DedA family protein DedA,Function unknown,P0ABP6,Op2292,Lrp,False,True
b2318,truA,U00096.3,,2434824,2435636,-,tRNA pseudouridine(38-40) synthase,"Translation, ribosomal structure and biogenesis",P07649,Op2293,,False,False
b2319,usg,U00096.3,,2435636,2436649,-,putative semialdehyde dehydrogenase Usg,Amino acid transport and metabolism,P08390,Op2294,,False,True
b2320,pdxB,U00096.3,,2436715,2437851,-,erythronate-4-phosphate dehydrogenase,Coenzyme transport and metabolism,P05459,Op2295,,False,False
b2321,flk,U00096.3,,2437950,2438945,+,putative flagella assembly protein,Cell motility,P15286,Op2296,,False,True
b2322,yfcJ,U00096.3,,2438942,2440120,-,putative transporter YfcJ,Amino acid transport and metabolism,P77549,Op2297,ppGpp,False,True
b2323,fabB,U00096.3,,2440385,2441605,-,3-oxoacyl-[acyl carrier protein] synthase 1,Lipid transport and metabolism,P0A953,Op2298,"RpoD,FadR,FabR",False,False
b2324,mnmC,U00096.3,,2441764,2443770,+,fused tRNA 5-aminomethyl-2-thiouridylate methyltransferase and tRNA 5-aminomethyl-2-thiouridylate synthase,"Translation, ribosomal structure and biogenesis",P77182,Op2299,,False,False
b2325,yfcL,U00096.3,,2443891,2444169,-,PF08891 family protein YfcL,Function unknown,P64540,Op2300,,False,True
b2326,epmC,U00096.3,,2444203,2444751,-,EF-P-Lys34 hydroxylase,Function unknown,P76938,Op2301,,False,False
b2327,yfcA,U00096.3,,2444751,2445560,-,putative transporter YfcA,Function unknown,P0AD30,Op2302,,False,True
b2328,mepA,U00096.3,,2445560,2446384,-,peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase,Cell wall/membrane/envelope biogenesis,P0C0T5,Op2303,,False,False
b2329,aroC,U00096.3,,2446388,2447473,-,chorismate synthase,Amino acid transport and metabolism,P12008,Op2304,,False,False
b2330,prmB,U00096.3,,2447508,2448440,-,ribosomal protein L3 N(5)-glutamine methyltransferase,"Translation, ribosomal structure and biogenesis",P39199,Op2305,Nac,False,False
b2331,smrB,U00096.3,,2448606,2449157,+,putative endonuclease SmrB,Function unknown,P0A8B2,Op2306,YdcI,False,True
b2332,yfcO,U00096.3,,2449228,2450049,-,DUF2544 domain-containing protein YfcO,Function unknown,P76498,Op2307,"Nac,GlaR",False,True
b2333,yfcP,U00096.3,,2450051,2450590,-,putative fimbrial protein YfcP,Cell motility,P76499,Op2308,Nac,False,True
b2334,yfcQ,U00096.3,,2450587,2451075,-,putative fimbrial protein YfcQ,Cell motility,P76500,Op2309,,True,True
b2335,yfcR,U00096.3,,2451072,2451584,-,putative fimbrial protein YfcR,Cell motility,P76501,Op2310,,False,True
b2336,yfcS,U00096.3,,2451584,2452336,-,putative fimbrial chaperone YfcS,Cell wall/membrane/envelope biogenesis,P77599,Op2311,,False,True
b2339,yfcV,U00096.3,,2455083,2455646,-,putative fimbrial protein YfcV,Cell motility,P77288,Op2312,"YciT,GlaR",False,True
b2340,sixA,U00096.3,,2456327,2456812,-,phosphohistidine phosphatase SixA,Signal transduction mechanisms,P76502,Op2313,"RpoD,YciT,RpoE,ppGpp",False,False
b2341,fadJ,U00096.3,,2457015,2459159,-,3-hydroxyacyl-CoA dehydrogenase FadJ,Lipid transport and metabolism,P77399,Op2314,"RpoD,ArcA,FadR",False,False
b2342,fadI,U00096.3,,2459159,2460469,-,3-ketoacyl-CoA thiolase FadI,Lipid transport and metabolism,P76503,Op2315,"RpoD,ArcA,FadR,Lrp",True,False
b2343,yfcZ,U00096.3,,2460650,2460934,-,DUF406 domain-containing protein YfcZ,Function unknown,P0AD33,Op2316,"Fnr,Lrp,ppGpp",False,True
b2344,fadL,U00096.3,,2461306,2462646,+,long-chain fatty acid outer membrane channel/bacteriophage T2 receptor,Cell wall/membrane/envelope biogenesis,P10384,Op2317,"PhoP,YbiH,RpoS,ArcA,Crp,ppGpp,OmpR,FadR,Lrp,rybB",False,False
b2345,yfdF,U00096.3,,2463012,2464070,+,protein YfdF,No COG annotation,P76505,Op2318,ppGpp,True,True
b2346,mlaA,U00096.3,,2464252,2465007,-,intermembrane phospholipid transport system - outer membrane lipoprotein MlaA,Cell wall/membrane/envelope biogenesis,P76506,Op2319,,False,True
b2347,yfdC,U00096.3,,2465301,2466233,+,inner membrane protein YfdC,Inorganic ion transport and metabolism,P37327,Op2320,GlaR,True,True
b2349,intS,U00096.3,,2466545,2467702,+,prophage CPS-53 integrase,"Replication, recombination and repair",P37326,Op2321,RpoD,False,True
b2350,yfdG,U00096.3,,2467855,2468217,+,putative bactoprenol-linked glucose translocase,"Intracellular trafficking, secretion, and vesicular transport",P77682,Op2322,ppGpp,False,False
b2351,yfdH,U00096.3,,2468214,2469134,+,bactoprenol glucosyl transferase,Cell wall/membrane/envelope biogenesis,P77293,Op2323,,True,True
b2352,yfdI,U00096.3,,2469131,2470462,+,serotype-specific glucosyl transferase YfdI,No COG annotation,P76507,Op2324,,True,True
b4780,yodE,U00096.3,,2470497,2470643,-,toxic protein YodE,No COG annotation,P0DSF8,Op2325,,True,False
b2354,yfdK,U00096.3,,2471077,2471517,-,putative tail fiber assembly protein YfdK,Function unknown,P77656,Op2326,,False,True
b2356,yfdM,U00096.3,,2472112,2472387,-,putative methyltransferase YfdM,Transcription,P76509,Op2327,,False,False
b2357,yfdN,U00096.3,,2472387,2472881,-,uncharacterized protein YfdN,Function unknown,P76510,Op2328,,False,True
b2358,yfdO,U00096.3,,2472878,2473246,-,protein YdfO,Transcription,P0AD35,Op2329,,False,False
b2359,yfdP,U00096.3,,2473604,2473966,+,uncharacterized protein YfdP,No COG annotation,P76512,Op2330,,False,False
b2360,yfdQ,U00096.3,,2474032,2474856,+,DUF2303 domain-containing protein YfdQ,Function unknown,P76513,Op2331,YciT,False,True
b2361,yfdR,U00096.3,,2474984,2475520,+,5'-deoxynucleotidase,Function unknown,P76514,Op2332,,False,False
b2362,yfdS,U00096.3,,2475511,2475873,+,protein YfdS,Function unknown,P76515,Op2333,YfeC,False,True
b2363,yfdT,U00096.3,,2475873,2476178,+,protein YfdT,No COG annotation,P76516,Op2334,,False,True
b4545,ypdJ,U00096.3,,2476094,2476234,+,putative uncharacterized protein YpdJ,Function unknown,Q2EET0,Op2335,,False,False
b4501,torI,U00096.3,,2476310,2476510,+,prophage CPS-53 recombination directionality factor and response regulator inhibitor,Transcription,Q2EES9,Op2336,Nac,True,False
b2364,dsdC,U00096.3,,2476694,2477629,-,DNA-binding transcriptional dual regulator DsdC,Transcription,P46068,Op2337,"RpoD,DsdC,NsrR",False,False
b2365,dsdX,U00096.3,,2477847,2479184,+,D-serine transporter,Inorganic ion transport and metabolism,P08555,Op2338,"RpoD,DsdC,Crp",False,False
b2366,dsdA,U00096.3,,2479202,2480530,+,D-serine ammonia-lyase,Amino acid transport and metabolism,P00926,Op2339,"RpoD,DsdC,Crp",False,False
b2367,emrY,U00096.3,,2480638,2482176,-,tripartite efflux pump membrane subunit EmrY,Amino acid transport and metabolism,P52600,Op2340,"gcvB,Fnr,EvgA",True,True
b2368,emrK,U00096.3,,2482176,2483339,-,tripartite efflux pump membrane fusion protein EmrK,Defense mechanisms,P52599,Op2341,"YciT,Fnr,EvgA,Nac",True,True
b4781,evgL,U00096.3,,2483729,2483758,+,protein EvgL,No COG annotation,P0DSF9,Op2342,,True,False
b2369,evgA,U00096.3,,2483755,2484369,+,DNA-binding transcriptional activator EvgA,Transcription,P0ACZ4,Op2343,"RpoD,RpoS,EvgA,H-NS,Nac",False,False
b2370,evgS,U00096.3,,2484374,2487967,+,sensor histidine kinase EvgS,Signal transduction mechanisms,P30855,Op2344,"RpoD,RpoS,ppGpp,EvgA,H-NS",False,False
b2371,yfdE,U00096.3,,2488023,2489168,-,acetyl-CoA:oxalate CoA-transferase,Energy production and conversion,P76518,Op2345,"RpoD,EvgA,Nac",True,False
b2372,yfdV,U00096.3,,2489242,2490186,-,putative transport protein YfdV,"Intracellular trafficking, secretion, and vesicular transport",P0AA49,Op2346,"RpoD,YeiE,EvgA,Nac,GlaR",True,True
b2373,oxc,U00096.3,,2490256,2491950,-,oxalyl-CoA decarboxylase,Amino acid transport and metabolism,P0AFI0,Op2347,"RpoD,YdcR,EvgA,GlaR",True,False
b2374,frc,U00096.3,,2492004,2493254,-,formyl-CoA transferase,Energy production and conversion,P69902,Op2348,"RpoD,EvgA",True,False
b2375,yfdX,U00096.3,,2493767,2494402,-,protein YfdX,Function unknown,P76520,Op2349,"RpoD,ppGpp,EvgA",True,True
b2376,ypdI,U00096.3,,2494698,2494973,+,colanic acid synthesis putative lipoprotein YpdI,No COG annotation,O32528,Op2350,,True,True
b2377,yfdY,U00096.3,,2495050,2495292,-,DUF2545 domain-containing protein YfdY,Function unknown,P76521,Op2351,,True,True
b2378,lpxP,U00096.3,,2495645,2496565,+,palmitoleoyl acyltransferase,Cell wall/membrane/envelope biogenesis,P0ACV2,Op2352,"RpoE,ppGpp",True,False
b4680,ypdK,U00096.3,,2496921,2496992,+,putative membrane protein YpdK,No COG annotation,C1P610,Op2353,,True,False
b2379,alaC,U00096.3,,2497057,2498295,-,glutamate--pyruvate aminotransferase AlaC,Amino acid transport and metabolism,P77434,Op2354,"RpoD,ppGpp,SgrR,Nac",False,False
b2380,pyrS,U00096.3,,2498671,2500368,+,sensor histidine kinase PyrS,Signal transduction mechanisms,P0AA93,Op2355,ArcA,False,False
b2381,pyrR,U00096.3,,2500383,2501117,+,DNA-binding transcriptional activator PyrR,Transcription,P0AE39,Op2356,ppGpp,False,False
b2382,ypdC,U00096.3,,2501130,2501987,+,putative AraC-type DNA-binding transcriptional regulator YpdC,Transcription,P77396,Op2357,GlaR,False,True
b2383,fryA,U00096.3,,2501990,2504485,-,putative PTS multiphosphoryl transfer protein FryA,Carbohydrate transport and metabolism,P77439,Op2358,,False,True
b2384,ypdE,U00096.3,,2504510,2505547,-,aminopeptidase YpdE,Carbohydrate transport and metabolism,P77585,Op2359,,False,False
b2385,ypdF,U00096.3,,2505547,2506632,-,aminopeptidase YpdF,Amino acid transport and metabolism,P76524,Op2360,,False,False
b2386,fryC,U00096.3,,2506647,2507894,-,putative PTS enzyme IIC component FryC,Carbohydrate transport and metabolism,P77579,Op2361,,False,True
b2387,fryB,U00096.3,,2507916,2508242,-,putative PTS enzyme IIB component FryB,Carbohydrate transport and metabolism,P69808,Op2362,,True,True
b2388,glk,U00096.3,,2508461,2509426,-,glucokinase,Nucleotide transport and metabolism,P0A6V8,Op2363,"RpoD,RpoS,Cra",False,False
b2389,yfeO,U00096.3,,2509630,2510886,+,putative transport protein YfeO,Inorganic ion transport and metabolism,P67729,Op2364,,False,True
b2390,ypeC,U00096.3,,2511001,2511327,+,DUF2502 domain-containing protein YpeC,Function unknown,P64542,Op2365,,True,True
b2392,mntH,U00096.3,,2511468,2512706,-,Mn(2(+))/Fe(2(+)): H(+) symporter MntH,Inorganic ion transport and metabolism,P0A769,Op2366,"RpoD,Fur,MntR,OxyR,Nac",False,False
b4819,ypeD,U00096.3,,2512687,2512776,-,protein YpeD,No COG annotation,P0DUW4,Op2367,,True,False
b2393,nupC,U00096.3,,2513042,2514244,+,nucleoside:H(+) symporter NupC,"Intracellular trafficking, secretion, and vesicular transport",P0AFF2,Op2368,"RpoD,Crp,CytR,Nac,ppGpp,ArcA",False,False
b2394,insL3,U00096.3,,2514331,2515443,+,putative IS186/IS421 transposase,"Replication, recombination and repair",P0CF93,Op2369,ppGpp,False,False
b2395,pdeA,U00096.3,,2515643,2517832,-,putative c-di-GMP phosphodiesterase PdeA,Signal transduction mechanisms,P23842,Op2370,,False,True
b2398,yfeC,U00096.3,,2518467,2518811,+,DNA-binding transcriptional dual regulator YfeC,"Replication, recombination and repair",P0AD37,Op2371,,False,True
b2399,yfeD,U00096.3,,2518813,2519205,+,putative DNA-binding transcriptional regulator YfeD,"Replication, recombination and repair",P27238,Op2372,,False,True
b2400,gltX,U00096.3,,2519257,2520672,-,glutamate--tRNA ligase,"Translation, ribosomal structure and biogenesis",P04805,Op2373,"RpoD,ppGpp,Fis",False,False
b2405,xapR,U00096.3,,2521593,2522477,-,DNA-binding transcriptional activator XapR,Transcription,P23841,Op2374,"RpoD,Nac",False,False
b2406,xapB,U00096.3,,2522729,2523985,-,xanthosine:H(+) symporter XapB,Carbohydrate transport and metabolism,P45562,Op2375,"RpoD,RpoN,RpoS,XapR",False,False
b2407,xapA,U00096.3,,2524045,2524878,-,xanthosine phosphorylase,Nucleotide transport and metabolism,P45563,Op2376,"RpoD,RpoS,XapR",False,False
b2408,yfeN,U00096.3,,2525127,2525891,+,putative outer membrane porin YfeN,Function unknown,P45564,Op2377,YbaQ,False,True
b2409,yfeR,U00096.3,,2525930,2526856,-,putative DNA-binding transcriptional regulator YfeR,Transcription,P0ACR7,Op2378,,False,True
b2410,yfeH,U00096.3,,2526946,2527944,+,putative solute:Na(+) symporter,Function unknown,P39836,Op2379,,False,True
b4546,ypeB,U00096.3,,2527941,2528159,-,PF12843 family protein YpeB,Function unknown,P0AD40,Op2380,,False,True
b2411,ligA,U00096.3,,2528161,2530176,-,DNA ligase,"Replication, recombination and repair",P15042,Op2381,,False,False
b2412,zipA,U00096.3,,2530247,2531233,-,cell division protein ZipA,"Cell cycle control, cell division, chromosome partitioning",P77173,Op2382,Lrp,False,False
b2413,cysZ,U00096.3,,2531463,2532224,+,sulfate:H(+) symporter,Amino acid transport and metabolism,P0A6J3,Op2383,,False,False
b2414,cysK,U00096.3,,2532409,2533380,+,cysteine synthase A,Amino acid transport and metabolism,P0ABK5,Op2384,"RpoD,ppGpp,CysB",True,False
b2415,ptsH,U00096.3,,2533764,2534021,+,phosphocarrier protein HPr,Carbohydrate transport and metabolism,P0AA04,Op2385,"RpoD,RpoH,NagC,Crp,Cra,Mlc",False,False
b2416,ptsI,U00096.3,,2534066,2535793,+,PTS enzyme I,Carbohydrate transport and metabolism,P08839,Op2386,"RpoD,RpoH,NagC,Crp,Cra,Mlc",False,False
b2417,crr,U00096.3,,2535834,2536343,+,Enzyme IIA(Glc),Carbohydrate transport and metabolism,P69783,Op2387,"RpoD,RpoH,RpoS,NagC,Crp,Cra,Mlc",False,False
b2418,pdxK,U00096.3,,2536386,2537237,-,pyridoxine/pyridoxal/pyridoxamine kinase,Coenzyme transport and metabolism,P40191,Op2388,"YbaQ,Nac",False,False
b2419,yfeK,U00096.3,,2537342,2537716,+,DUF5329 domain-containing protein YfeK,Function unknown,Q47702,Op2389,"RpoE,Nac,micA",False,True
b2420,yfeS,U00096.3,,2537749,2538483,+,PF05406 family protein YfeS,Function unknown,P78271,Op2390,"RpoE,Nac",False,True
b2421,cysM,U00096.3,,2538672,2539583,-,cysteine synthase B,Amino acid transport and metabolism,P16703,Op2391,"RpoD,H-NS,CysB",True,False
b2422,cysA,U00096.3,,2539717,2540814,-,sulfate/thiosulfate ABC transporter ATP binding subunit,Inorganic ion transport and metabolism,P16676,Op2392,"RpoD,H-NS,CysB",True,False
b2423,cysW,U00096.3,,2540804,2541679,-,sulfate/thiosulfate ABC transporter inner membrane subunit CysW,Inorganic ion transport and metabolism,P0AEB0,Op2393,"RpoD,H-NS,CysB",True,False
b2424,cysU,U00096.3,,2541679,2542512,-,sulfate/thiosulfate ABC transporter inner membrane subunit CysU,Inorganic ion transport and metabolism,P16701,Op2394,"RpoD,H-NS,CysB",True,False
b2425,cysP,U00096.3,,2542512,2543528,-,thiosulfate/sulfate ABC transporter periplasmic binding protein CysP,Inorganic ion transport and metabolism,P16700,Op2395,"RpoD,H-NS,CysB",True,False
b2426,ucpA,U00096.3,,2543832,2544623,-,oxidoreductase UcpA,Lipid transport and metabolism,P37440,Op2396,YbcM,False,True
b2427,murR,U00096.3,,2544752,2545609,-,DNA-binding transcriptional dual regulator MurR,Transcription,P77245,Op2397,"RpoD,RpoS,MurR,ppGpp",False,False
b2428,murQ,U00096.3,,2545773,2546669,+,N-acetylmuramic acid 6-phosphate etherase,Function unknown,P76535,Op2398,"RpoD,RpoS,Crp,MurR",False,False
b2429,murP,U00096.3,,2546673,2548097,+,N-acetylmuramic acid-specific PTS enzyme IICB component/anhydro-N-acetylmuramic acid transporter,Carbohydrate transport and metabolism,P77272,Op2399,"RpoD,RpoS,Crp,MurR",False,False
b2430,yfeW,U00096.3,,2548102,2549406,+,penicillin binding protein 4B,Defense mechanisms,P77619,Op2400,YfeC,False,False
b2431,yfeX,U00096.3,,2549646,2550545,-,porphyrinogen peroxidase,Inorganic ion transport and metabolism,P76536,Op2401,RpoE,False,False
b2432,yfeY,U00096.3,,2550641,2551216,-,DUF1131 domain-containing lipoprotein YfeY,Function unknown,P76537,Op2402,RpoE,False,True
b2433,yfeZ,U00096.3,,2551277,2551726,-,putative inner membrane protein,Function unknown,P76538,Op2403,,False,True
