locus_tag,gene_name,accession,old_locus_tag,start,end,strand,gene_product,COG,uniprot,operon
b2608,rimM,U00096.3,,2745370,2745918,-,ribosome maturation factor RimM,"Translation, ribosomal structure and biogenesis",P0A7X6,Op2581
b2609,rpsP,U00096.3,,2745937,2746185,-,30S ribosomal subunit protein S16,"Translation, ribosomal structure and biogenesis",P0A7T3,Op2582
b2610,ffh,U00096.3,,2746434,2747795,-,signal recognition particle protein component,"Intracellular trafficking, secretion, and vesicular transport",P0AGD7,Op2583
b2611,ypjD,U00096.3,,2747962,2748753,+,cytochrome c assembly family protein,Function unknown,P64432,Op2584
b4461,yfjD,U00096.3,,2748774,2750060,+,UPF0053 family inner membrane protein YfjD,Inorganic ion transport and metabolism,P37908,Op2585
b2614,grpE,U00096.3,,2750115,2750708,-,nucleotide exchange factor GrpE,"Post-translational modification, protein turnover, and chaperones",P09372,Op2586
b2615,nadK,U00096.3,,2750831,2751709,+,NAD kinase,Nucleotide transport and metabolism,P0A7B3,Op2587
b2616,recN,U00096.3,,2751795,2753456,+,DNA repair protein RecN,"Replication, recombination and repair",P05824,Op2588
b2617,bamE,U00096.3,,2753605,2753946,+,outer membrane protein assembly factor BamE,Cell wall/membrane/envelope biogenesis,P0A937,Op2589
b2618,yfjF,U00096.3,,2754008,2754298,-,putative component of the Rsx system,Function unknown,P52119,Op2590
b2619,ratA,U00096.3,,2754288,2754764,-,ribosome association toxin RatA,Lipid transport and metabolism,P0AGL5,Op2591
b2620,smpB,U00096.3,,2754896,2755378,+,SsrA-binding protein,"Translation, ribosomal structure and biogenesis",P0A832,Op2592
b2622,intA,U00096.3,,2756159,2757400,+,integrase IntA,"Replication, recombination and repair",P32053,Op2593
b2623,yfjH,U00096.3,,2757644,2758600,-,uncharacterized protein YfjH,No COG annotation,P52123,Op2594
b2624,alpA,U00096.3,,2758644,2758856,+,DNA-binding transcriptional activator AlpA,Transcription,P33997,Op2595
b2625,yfjI,U00096.3,,2758985,2760394,+,DUF3987 domain-containing protein YfjI,Function unknown,P52124,Op2596
b2626,yfjJ,U00096.3,,2760547,2761173,+,protein YfjJ,Function unknown,P52125,Op2597
b2627,abpB,U00096.3,,2761351,2763540,-,putative helicase YfjK,"Replication, recombination and repair",P52126,Op2598
b2628,abpA,U00096.3,,2763537,2765153,-,anti-bacteriophage protein,Function unknown,P52127,Op2599
b2629,yfjM,U00096.3,,2765513,2765776,-,protein YfjM,"Intracellular trafficking, secretion, and vesicular transport",P52128,Op2600
b2630,rnlA,U00096.3,,2765918,2766991,+,RNase LS%2C toxin of the RnlAB toxin-antitoxin system,Function unknown,P52129,Op2601
b2631,rnlB,U00096.3,,2766984,2767355,+,antitoxin RnlB,Function unknown,P52130,Op2602
b2632,yfjP,U00096.3,,2767710,2768573,+,putative GTP-binding protein YfjP,Function unknown,P52131,Op2603
b2633,yfjQ,U00096.3,,2768665,2769486,+,DUF932 domain-containing protein YfjQ,Function unknown,P52132,Op2604
b2634,yfjR,U00096.3,,2769703,2770404,+,putative DNA-binding transcriptional regulator YfjR,Transcription,P52133,Op2605
b2635,ypjK,U00096.3,,2770445,2770681,+,uncharacterized protein YpjK,Function unknown,P52134,Op2606
b2636,yfjS,U00096.3,,2770681,2771124,+,inner membrane lipoprotein YfjS,Transcription,O52982,Op2607
b2637,yfjT,U00096.3,,2771148,2771615,+,uncharacterized protein YfjT,No COG annotation,P52135,Op2608
b2638,yfjU,U00096.3,,2771840,2772154,-,putative arsenate reductase-like protein YfjU,Inorganic ion transport and metabolism,P0CF86,Op2609
b2642,yfjW,U00096.3,,2773318,2775021,+,uncharacterized protein YfjW,No COG annotation,P52138,Op2610
b2643,yfjX,U00096.3,,2775919,2776377,+,putative antirestriction protein YfjX,Function unknown,P52139,Op2611
b2644,yfjY,U00096.3,,2776386,2776868,+,RadC-like JAB domain-containing protein YfjY,Amino acid transport and metabolism,P52140,Op2612
b4548,ypjJ,U00096.3,,2776877,2777077,+,DUF987 domain-containing protein YpjJ,Function unknown,P58033,Op2613
b2645,yfjZ,U00096.3,,2777115,2777432,+,putative antitoxin of the YpjF-YfjZ toxin-antitoxin system,Function unknown,P52141,Op2614
b2646,ypjF,U00096.3,,2777453,2777782,+,toxin of the YpjF-YfjZ toxin-antitoxin system,Function unknown,Q46953,Op2615
b2647,ypjA,U00096.3,,2778146,2782726,-,adhesin-like autotransporter YpjA,Cell wall/membrane/envelope biogenesis,P52143,Op2616
b2649,ypjB,U00096.3,,2783638,2784429,-,DUF5508 domain-containing protein YpjB,No COG annotation,P76612,Op2617
b2650,ypjC,U00096.3,,2784529,2785011,-,DUF5507 domain-containing protein YpjC,No COG annotation,P76613,Op2618
b2659,glaH,U00096.3,,2788985,2789962,+,glutarate dioxygenase GlaH,Energy production and conversion,P76621,Op2619
b2660,lhgD,U00096.3,,2789982,2791250,+,L-2-hydroxyglutarate dehydrogenase,Energy production and conversion,P37339,Op2620
b2661,gabD,U00096.3,,2791273,2792721,+,succinate-semialdehyde dehydrogenase (NADP(+)) GabD,Energy production and conversion,P25526,Op2621
b2662,gabT,U00096.3,,2792735,2794015,+,4-aminobutyrate aminotransferase GabT,Amino acid transport and metabolism,P22256,Op2622
b2663,gabP,U00096.3,,2794253,2795653,+,4-aminobutanoate:H(+) symporter,Amino acid transport and metabolism,P25527,Op2623
b2664,glaR,U00096.3,,2795674,2796336,+,DNA-binding transcriptional repressor GlaR,Transcription,P37338,Op2624
b2665,kbp,U00096.3,,2796337,2796786,-,K(+) binding protein,Function unknown,P0ADE6,Op2625
b2666,yqaE,U00096.3,,2796870,2797028,-,Pmp3 family protein YqaE,Function unknown,P0AE42,Op2626
b2667,ygaV,U00096.3,,2797211,2797510,+,putative DNA-binding transcriptional regulator YgaV,Transcription,P77295,Op2627
b2668,ygaP,U00096.3,,2797520,2798044,+,thiosulfate sulfurtransferase YgaP,Inorganic ion transport and metabolism,P55734,Op2628
b2669,stpA,U00096.3,,2798091,2798495,-,DNA-binding transcriptional repressor StpA with RNA chaperone activity,Transcription,P0ACG1,Op2629
b2670,alaE,U00096.3,,2799164,2799613,+,L-alanine exporter,"Intracellular trafficking, secretion, and vesicular transport",P64550,Op2630
b2671,ygaC,U00096.3,,2799650,2799994,-,DUF2002 domain-containing protein YgaC,Function unknown,P0AD53,Op2631
b2672,ygaM,U00096.3,,2800146,2800475,+,DUF883 domain-containing protein YgaM,Function unknown,P0ADQ7,Op2632
b2673,nrdH,U00096.3,,2800723,2800968,+,glutaredoxin-like protein NrdH,"Post-translational modification, protein turnover, and chaperones",P0AC65,Op2633
b2674,nrdI,U00096.3,,2800965,2801375,+,dimanganese-tyrosyl radical cofactor maintenance flavodoxin NrdI,Nucleotide transport and metabolism,P0A772,Op2634
b2675,nrdE,U00096.3,,2801348,2803492,+,ribonucleoside-diphosphate reductase 2 subunit alpha,Nucleotide transport and metabolism,P39452,Op2635
b2676,nrdF,U00096.3,,2803502,2804461,+,ribonucleoside-diphosphate reductase 2 subunit beta,Nucleotide transport and metabolism,P37146,Op2636
b2677,proV,U00096.3,,2804815,2806017,+,glycine betaine ABC transporter ATP binding subunit ProV,Inorganic ion transport and metabolism,P14175,Op2637
b2678,proW,U00096.3,,2806010,2807074,+,glycine betaine ABC transporter membrane subunit ProW,Inorganic ion transport and metabolism,P14176,Op2638
b2679,proX,U00096.3,,2807132,2808124,+,glycine betaine ABC transporter periplasmic binding protein ProX,Amino acid transport and metabolism,P0AFM2,Op2639
b2682,ygaZ,U00096.3,,2809617,2810354,+,L-valine exporter%2C YgaZ component,Amino acid transport and metabolism,P76630,Op2640
b2683,ygaH,U00096.3,,2810344,2810679,+,L-valine exporter%2C YgaH component,Function unknown,P43667,Op2641
b2684,mprA,U00096.3,,2810770,2811300,+,DNA-binding transcriptional regulator MprA,Transcription,P0ACR9,Op2642
b2685,emrA,U00096.3,,2811427,2812599,+,multidrug efflux pump membrane fusion protein EmrA,Defense mechanisms,P27303,Op2643
b2686,emrB,U00096.3,,2812616,2814154,+,multidrug efflux pump membrane subunit EmrB,"Intracellular trafficking, secretion, and vesicular transport",P0AEJ0,Op2644
b2687,luxS,U00096.3,,2814218,2814733,-,S-ribosylhomocysteine lyase,Nucleotide transport and metabolism,P45578,Op2645
b2688,gshA,U00096.3,,2814883,2816439,-,glutamate--cysteine ligase,Coenzyme transport and metabolism,P0A6W9,Op2646
b2689,yqaA,U00096.3,,2816512,2816940,-,DedA family protein YqaA,Function unknown,P0ADR0,Op2647
b2690,yqaB,U00096.3,,2816937,2817503,-,fructose-1-phosphate phosphatase YqaB,Function unknown,P77475,Op2648
b2696,csrA,U00096.3,,2818961,2819146,-,carbon storage regulator,"Translation, ribosomal structure and biogenesis",P69913,Op2649
b2697,alaS,U00096.3,,2819381,2822011,-,alanine--tRNA ligase/DNA-binding transcriptional repressor,"Translation, ribosomal structure and biogenesis",P00957,Op2650
b2698,recX,U00096.3,,2822139,2822639,-,RecA inhibitor RecX,Function unknown,P33596,Op2651
b2699,recA,U00096.3,,2822708,2823769,-,DNA recombination/repair protein RecA,"Replication, recombination and repair",P0A7G6,Op2652
b2700,pncC,U00096.3,,2823849,2824346,-,NMN aminohydrolase,Function unknown,P0A6G3,Op2653
b2701,mltB,U00096.3,,2824491,2825576,-,membrane-bound lytic murein transglycosylase B,Cell wall/membrane/envelope biogenesis,P41052,Op2654
b2702,srlA,U00096.3,,2825832,2826395,+,sorbitol-specific PTS enzyme IIC2 component,Carbohydrate transport and metabolism,P56579,Op2655
b2703,srlE,U00096.3,,2826392,2827351,+,sorbitol-specific PTS enzyme IIBC1 component,Carbohydrate transport and metabolism,P56580,Op2656
b2704,srlB,U00096.3,,2827362,2827733,+,sorbitol-specific PTS enzyme IIA component,Carbohydrate transport and metabolism,P05706,Op2657
b2705,srlD,U00096.3,,2827737,2828516,+,sorbitol-6-phosphate 2-dehydrogenase,Lipid transport and metabolism,P05707,Op2658
b2706,gutM,U00096.3,,2828621,2828980,+,DNA-binding transcriptional activator GutM,Transcription,P15081,Op2659
b2707,srlR,U00096.3,,2829047,2829820,+,DNA-binding transcriptional repressor SrlR,Transcription,P15082,Op2660
b2708,gutQ,U00096.3,,2829813,2830778,+,D-arabinose 5-phosphate isomerase GutQ,Nucleotide transport and metabolism,P17115,Op2661
b2709,norR,U00096.3,,2830775,2832289,-,DNA-binding transcriptional dual regulator NorR,Transcription,P37013,Op2662
b2710,norV,U00096.3,,2832476,2833915,+,anaerobic nitric oxide reductase flavorubredoxin,Energy production and conversion,Q46877,Op2663
b2711,norW,U00096.3,,2833912,2835045,+,NADH:flavorubredoxin reductase,Energy production and conversion,P37596,Op2664
b2712,hypF,U00096.3,,2835173,2837425,-,carbamoyl--[HypE] ligase,"Post-translational modification, protein turnover, and chaperones",P30131,Op2665
b2713,hydN,U00096.3,,2837578,2838105,-,putative electron transport protein HydN,Energy production and conversion,P0AAK4,Op2666
b2714,ascG,U00096.3,,2838254,2839264,-,DNA-binding transcriptional repressor AscG,Transcription,P24242,Op2667
b2715,ascF,U00096.3,,2839524,2840981,+,beta-glucoside specific PTS enzyme IIBC component,Carbohydrate transport and metabolism,P24241,Op2668
b2716,ascB,U00096.3,,2840990,2842414,+,6-phospho-beta-glucosidase AscB,Carbohydrate transport and metabolism,P24240,Op2669
b2717,hycI,U00096.3,,2842573,2843043,-,hydrogenase 3 maturation protease,Energy production and conversion,P0AEV9,Op2670
b2718,hycH,U00096.3,,2843036,2843446,-,formate hydrogenlyase assembly protein,Amino acid transport and metabolism,P0AEV7,Op2671
b2719,hycG,U00096.3,,2843443,2844210,-,formate hydrogenlyase subunit HycG,Energy production and conversion,P16433,Op2672
b2720,hycF,U00096.3,,2844210,2844752,-,formate hydrogenlyase subunit HycF,Energy production and conversion,P16432,Op2673
b2721,hycE,U00096.3,,2844762,2846471,-,formate hydrogenlyase subunit HycE,Energy production and conversion,P16431,Op2674
b2722,hycD,U00096.3,,2846489,2847412,-,formate hydrogenlyase subunit HycD,Energy production and conversion,P16430,Op2675
b2723,hycC,U00096.3,,2847415,2849241,-,formate hydrogenlyase subunit HycC,Energy production and conversion,P16429,Op2676
b2724,hycB,U00096.3,,2849238,2849849,-,formate hydrogenlyase subunit HycB,Energy production and conversion,P0AAK1,Op2677
b2725,hycA,U00096.3,,2849974,2850435,-,regulator of the transcriptional regulator FhlA,Transcription,P0AEV4,Op2678
b2726,hypA,U00096.3,,2850647,2850997,+,hydrogenase 3 nickel incorporation protein HypA,Function unknown,P0A700,Op2679
b2727,hypB,U00096.3,,2851001,2851873,+,hydrogenase isoenzymes nickel incorporation protein HypB,Transcription,P0AAN3,Op2680
b2728,hypC,U00096.3,,2851864,2852136,+,hydrogenase maturation factor HypC,"Post-translational modification, protein turnover, and chaperones",P0AAM3,Op2681
b2729,hypD,U00096.3,,2852136,2853257,+,Fe-(CN)2CO cofactor assembly scaffold protein HypD,"Post-translational modification, protein turnover, and chaperones",P24192,Op2682
b2730,hypE,U00096.3,,2853254,2854264,+,carbamoyl dehydratase HypE,"Post-translational modification, protein turnover, and chaperones",P24193,Op2683
b2731,fhlA,U00096.3,,2854338,2856416,+,DNA-binding transcriptional activator FhlA,Transcription,P19323,Op2684
b2732,ygbA,U00096.3,,2856453,2856806,-,protein YgbA,Function unknown,P25728,Op2685
b2733,mutS,U00096.3,,2857093,2859654,+,DNA mismatch repair protein MutS,"Replication, recombination and repair",P23909,Op2686
b2734,pphB,U00096.3,,2859760,2860416,+,phosphoprotein phosphatase 2,Signal transduction mechanisms,P55799,Op2687
b2735,ygbI,U00096.3,,2860467,2861234,-,DNA-binding transcriptional repressor YgbI,Transcription,P52598,Op2688
b2736,ygbJ,U00096.3,,2861430,2862338,+,putative L-threonate dehydrogenase,Lipid transport and metabolism,Q46888,Op2689
b2737,ygbK,U00096.3,,2862335,2863501,+,putative 3-oxo-tetronate kinase YgbK,Function unknown,Q46889,Op2690
b2738,ygbL,U00096.3,,2863593,2864231,+,putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL,Carbohydrate transport and metabolism,Q46890,Op2691
b2739,ygbM,U00096.3,,2864236,2865012,+,putative 2-oxo-tetronate isomerase YgbM,Carbohydrate transport and metabolism,Q46891,Op2692
b2740,ygbN,U00096.3,,2865101,2866465,+,putative transporter YgbN,Amino acid transport and metabolism,Q46892,Op2693
b2741,rpoS,U00096.3,,2866559,2867551,-,RNA polymerase sigma factor RpoS,Transcription,P13445,Op2694
b2742,nlpD,U00096.3,,2867614,2868753,-,murein hydrolase activator NlpD,"Cell cycle control, cell division, chromosome partitioning",P0ADA3,Op2695
b2743,pcm,U00096.3,,2868893,2869519,-,protein-L-isoaspartate O-methyltransferase,"Translation, ribosomal structure and biogenesis",P0A7A5,Op2696
b2744,umpG,U00096.3,,2869513,2870274,-,broad specificity 5'(3')-nucleotidase and polyphosphatase,Nucleotide transport and metabolism,P0A840,Op2697
b2745,truD,U00096.3,,2870255,2871304,-,tRNA pseudouridine(13) synthase,"Translation, ribosomal structure and biogenesis",Q57261,Op2698
b2746,ispF,U00096.3,,2871301,2871780,-,2-C-methyl-D-erythritol 2%2C4-cyclodiphosphate synthase,Lipid transport and metabolism,P62617,Op2699
b2747,ispD,U00096.3,,2871780,2872490,-,2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase,Lipid transport and metabolism,Q46893,Op2700
b2748,ftsB,U00096.3,,2872509,2872820,-,cell division protein FtsB,"Cell cycle control, cell division, chromosome partitioning",P0A6S5,Op2701
b2749,ygbE,U00096.3,,2873014,2873337,-,DUF3561 domain-containing inner membrane protein YgbE,Function unknown,P46141,Op2702
b2750,cysC,U00096.3,,2873387,2873992,-,adenylyl-sulfate kinase,Nucleotide transport and metabolism,P0A6J1,Op2703
b2751,cysN,U00096.3,,2873992,2875419,-,sulfate adenylyltransferase subunit 1,Coenzyme transport and metabolism,P23845,Op2704
b2752,cysD,U00096.3,,2875421,2876329,-,sulfate adenylyltransferase subunit 2,Coenzyme transport and metabolism,P21156,Op2705
b2753,iap,U00096.3,,2876581,2877618,+,alkaline phosphatase isozyme conversion protein,Function unknown,P10423,Op2706
b2754,cas2,U00096.3,,2878569,2878853,-,CRISPR-associated endoribonuclease Cas2,"Replication, recombination and repair",P45956,Op2707
b2755,cas1,U00096.3,,2878855,2879772,-,multifunctional nuclease Cas1,"Replication, recombination and repair",Q46896,Op2708
b2756,casE,U00096.3,,2879788,2880387,-,pre-CRISPR RNA endonuclease,"Translation, ribosomal structure and biogenesis",Q46897,Op2709
b2757,casD,U00096.3,,2880374,2881048,-,type I-E CRISPR system Cascade subunit CasD,"Translation, ribosomal structure and biogenesis",Q46898,Op2710
b2758,casC,U00096.3,,2881051,2882142,-,type I-E CRISPR system Cascade subunit CasC,"Replication, recombination and repair",Q46899,Op2711
b2759,casB,U00096.3,,2882155,2882637,-,type I-E CRISPR system Cascade subunit CasB,"Replication, recombination and repair",P76632,Op2712
b2760,casA,U00096.3,,2882630,2884138,-,type I-E CRISPR system Cascade subunit CasA,"Replication, recombination and repair",Q46901,Op2713
b2761,cas3,U00096.3,,2884553,2887219,-,CRISPR-associated endonuclease/helicase Cas3,"Replication, recombination and repair",P38036,Op2714
b2762,cysH,U00096.3,,2887578,2888312,-,phosphoadenosine phosphosulfate reductase,Amino acid transport and metabolism,P17854,Op2715
b2763,cysI,U00096.3,,2888387,2890099,-,sulfite reductase%2C hemoprotein subunit,Coenzyme transport and metabolism,P17846,Op2716
b2764,cysJ,U00096.3,,2890099,2891898,-,sulfite reductase%2C flavoprotein subunit,Amino acid transport and metabolism,P38038,Op2717
b2765,queD,U00096.3,,2892214,2892579,+,6-carboxy-5%2C6%2C7%2C8-tetrahydropterin synthase,Nucleotide transport and metabolism,P65870,Op2718
b2766,ygcN,U00096.3,,2892657,2893928,+,putative oxidoreductase with FAD/NAD(P)-binding domain,Energy production and conversion,Q46904,Op2719
b2767,ygcO,U00096.3,,2893919,2894179,+,putative 4Fe-4S cluster-containing protein,Energy production and conversion,Q46905,Op2720
b2768,ygcP,U00096.3,,2894196,2894771,+,putative anti-terminator regulatory protein,Transcription,Q46906,Op2721
b2769,ygcQ,U00096.3,,2894919,2895779,-,putative flavoprotein,Energy production and conversion,Q46907,Op2722
b2770,ygcR,U00096.3,,2895776,2896555,-,putative flavoprotein,Energy production and conversion,Q46908,Op2723
b2771,ygcS,U00096.3,,2896533,2897870,-,putative transporter YgcS,Inorganic ion transport and metabolism,Q46909,Op2724
b4463,ygcU,U00096.3,,2897964,2899418,-,putative FAD-containing dehydrogenase,Energy production and conversion,Q46911,Op2725
b2774,ygcW,U00096.3,,2899488,2900273,-,putative deoxygluconate dehydrogenase,Lipid transport and metabolism,P76633,Op2726
b2775,yqcE,U00096.3,,2900592,2901869,+,putative transport protein YqcE,Inorganic ion transport and metabolism,P77031,Op2727
b2776,ygcE,U00096.3,,2901896,2903374,+,putative sugar kinase YgcE,Carbohydrate transport and metabolism,P55138,Op2728
b2777,queE,U00096.3,,2904747,2905418,-,putative 7-carboxy-7-deazaguanine synthase QueE,Nucleotide transport and metabolism,P64554,Op2729
b4682,yqcG,U00096.3,,2905557,2905697,+,cell envelope stress response protein YqcG,No COG annotation,C1P612,Op2730
b2778,ygcG,U00096.3,,2905711,2906583,+,TPM domain-containing protein YgcG,Function unknown,P55140,Op2731
b2779,eno,U00096.3,,2906643,2907941,-,enolase,Nucleotide transport and metabolism,P0A6P9,Op2732
b2780,pyrG,U00096.3,,2908029,2909666,-,CTP synthetase,Nucleotide transport and metabolism,P0A7E5,Op2733
b2781,mazG,U00096.3,,2909894,2910685,-,nucleoside triphosphate pyrophosphohydrolase,Nucleotide transport and metabolism,P0AEY3,Op2734
b2782,mazF,U00096.3,,2910756,2911091,-,endoribonuclease toxin MazF,Signal transduction mechanisms,P0AE70,Op2735
b2783,mazE,U00096.3,,2911091,2911339,-,antitoxin of the MazF-MazE toxin-antitoxin system MazE,Transcription,P0AE72,Op2736
b2784,relA,U00096.3,,2911417,2913651,-,GDP/GTP pyrophosphokinase,Nucleotide transport and metabolism,P0AG20,Op2737
b2785,rlmD,U00096.3,,2913699,2915000,-,23S rRNA m(5)U1939 methyltransferase,"Translation, ribosomal structure and biogenesis",P55135,Op2738
b2786,barA,U00096.3,,2915057,2917813,+,sensor histidine kinase BarA,Signal transduction mechanisms,P0AEC5,Op2739
b2787,gudD,U00096.3,,2918045,2919385,-,D-glucarate dehydratase,Cell wall/membrane/envelope biogenesis,P0AES2,Op2740
b2788,gudX,U00096.3,,2919406,2920746,-,glucarate dehydratase-related protein,Cell wall/membrane/envelope biogenesis,Q46915,Op2741
b2789,gudP,U00096.3,,2920748,2922100,-,galactarate/D-glucarate transporter GudP,Inorganic ion transport and metabolism,Q46916,Op2742
b2790,yqcA,U00096.3,,2922535,2922984,-,putative flavodoxin YqcA,Energy production and conversion,P65367,Op2743
b2791,truC,U00096.3,,2923002,2923784,-,tRNA pseudouridine(65) synthase,"Translation, ribosomal structure and biogenesis",P0AA41,Op2744
b2792,yqcC,U00096.3,,2923784,2924113,-,DUF446 domain-containing protein YqcC,Function unknown,Q46919,Op2745
b2793,syd,U00096.3,,2924735,2925280,-,SecY-interacting protein,Function unknown,P0A8U0,Op2746
b2794,queF,U00096.3,,2925348,2926196,+,7-cyano-7-deazaguanine reductase,Nucleotide transport and metabolism,Q46920,Op2747
b2795,ppnN,U00096.3,,2926308,2927672,+,nucleotide 5'-monophosphate nucleosidase,Function unknown,P0ADR8,Op2748
b2796,sdaC,U00096.3,,2928229,2929518,+,L-serine:H(+) symporter SdaC,Amino acid transport and metabolism,P0AAD6,Op2749
b2797,sdaB,U00096.3,,2929576,2930943,+,L-serine deaminase II,Amino acid transport and metabolism,P30744,Op2750
b2798,ygdG,U00096.3,,2931055,2931810,+,flap endonuclease,"Replication, recombination and repair",P38506,Op2751
b2799,fucO,U00096.3,,2931865,2933013,-,L-1%2C2-propanediol oxidoreductase,Energy production and conversion,P0A9S1,Op2752
b2800,fucA,U00096.3,,2933041,2933688,-,L-fuculose-phosphate aldolase,Carbohydrate transport and metabolism,P0AB87,Op2753
b2801,fucP,U00096.3,,2934235,2935551,+,L-fucose:H(+) symporter,Inorganic ion transport and metabolism,P11551,Op2754
b2802,fucI,U00096.3,,2935584,2937359,+,L-fucose isomerase,Carbohydrate transport and metabolism,P69922,Op2755
b2803,fucK,U00096.3,,2937468,2938886,+,L-fuculokinase,Nucleotide transport and metabolism,P11553,Op2756
b2804,fucU,U00096.3,,2938888,2939310,+,L-fucose mutarotase,Carbohydrate transport and metabolism,P0AEN8,Op2757
b2805,fucR,U00096.3,,2939368,2940099,+,DNA-binding transcriptional activator FucR,Transcription,P0ACK8,Op2758
b2806,rlmM,U00096.3,,2940143,2941243,-,23S rRNA 2'-O-ribose C2498 methyltransferase,"Translation, ribosomal structure and biogenesis",P0ADR6,Op2759
b2807,ygdD,U00096.3,,2941236,2941631,-,DUF423 domain-containing inner membrane protein YgdD,Function unknown,P0ADR2,Op2760
b2808,gcvA,U00096.3,,2941650,2942567,-,DNA-binding transcriptional dual regulator GcvA,Transcription,P0A9F6,Op2761
b2809,ygdI,U00096.3,,2942918,2943145,-,DUF903 domain-containing lipoprotein YgdI,Cell wall/membrane/envelope biogenesis,P65292,Op2762
b2810,csdA,U00096.3,,2943337,2944542,+,cysteine sulfinate desulfinase,Amino acid transport and metabolism,Q46925,Op2763
b2811,csdE,U00096.3,,2944542,2944985,+,sulfur acceptor protein CsdE,Function unknown,P0AGF2,Op2764
b2812,tcdA,U00096.3,,2945036,2945842,-,tRNA threonylcarbamoyladenosine dehydratase,Coenzyme transport and metabolism,Q46927,Op2765
b2813,mltA,U00096.3,,2946081,2947178,-,membrane-bound lytic murein transglycosylase A,Cell wall/membrane/envelope biogenesis,P0A935,Op2766
b2817,amiC,U00096.3,,2947757,2949010,-,N-acetylmuramoyl-L-alanine amidase C,Cell wall/membrane/envelope biogenesis,P63883,Op2767
b2818,argA,U00096.3,,2949242,2950573,+,N-acetylglutamate synthase,Amino acid transport and metabolism,P0A6C5,Op2768
b2819,recD,U00096.3,,2950635,2952461,-,exodeoxyribonuclease V subunit RecD,"Replication, recombination and repair",P04993,Op2769
b2820,recB,U00096.3,,2952461,2956003,-,exodeoxyribonuclease V subunit RecB,"Replication, recombination and repair",P08394,Op2770
b2821,ptrA,U00096.3,,2955996,2958884,-,protease 3,"Post-translational modification, protein turnover, and chaperones",P05458,Op2771
b2822,recC,U00096.3,,2959060,2962428,-,exodeoxyribonuclease V subunit RecC,"Replication, recombination and repair",P07648,Op2772
b2823,ppdC,U00096.3,,2962441,2962764,-,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdC,Cell motility,P08372,Op2773
b2824,ygdB,U00096.3,,2962749,2963156,-,DUF2509 domain-containing protein YgdB,Function unknown,P08370,Op2774
b2825,ppdB,U00096.3,,2963153,2963716,-,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdB,"Intracellular trafficking, secretion, and vesicular transport",P08371,Op2775
b2826,ppdA,U00096.3,,2963707,2964177,-,prepilin-type N-terminal cleavage/methylation domain-containing protein PpdA,Cell motility,P33554,Op2776
b2827,thyA,U00096.3,,2964361,2965155,-,thymidylate synthase,Nucleotide transport and metabolism,P0A884,Op2777
b2828,lgt,U00096.3,,2965162,2966037,-,phosphatidylglycerol--prolipoprotein diacylglyceryl transferase,Cell wall/membrane/envelope biogenesis,P60955,Op2778
b2829,ptsP,U00096.3,,2966188,2968434,-,phosphoenolpyruvate-protein phosphotransferase PtsP,Signal transduction mechanisms,P37177,Op2779
b2830,rppH,U00096.3,,2968447,2968977,-,RNA pyrophosphohydrolase,"Replication, recombination and repair",P0A776,Op2780
b4610,ygdT,U00096.3,,2969330,2969476,-,YgdT,No COG annotation,A0A385XJL2,Op2781
b2831,mutH,U00096.3,,2969662,2970351,+,DNA mismatch repair protein MutH,"Replication, recombination and repair",P06722,Op2782
b2832,ygdQ,U00096.3,,2970420,2971133,+,PF03741 family inner membrane protein YgdQ,Inorganic ion transport and metabolism,P67127,Op2783
b2833,ygdR,U00096.3,,2971271,2971489,+,DUF903 domain-containing lipoprotein YgdR,Function unknown,P65294,Op2784
b2834,tas,U00096.3,,2971597,2972637,+,putative NADP(H)-dependent aldo-keto reductase Tas,Energy production and conversion,P0A9T4,Op2785
b2835,lplT,U00096.3,,2972669,2973862,-,lysophospholipid transporter,Amino acid transport and metabolism,P39196,Op2786
b2836,aas,U00096.3,,2973855,2976014,-,fused 2-acylglycerophospho-ethanolamine acyltransferase/acyl-acyl carrier protein synthetase,Lipid transport and metabolism,P31119,Op2787
b2837,galR,U00096.3,,2976599,2977630,+,DNA-binding transcriptional dual regulator GalR,Transcription,P03024,Op2788
b2838,lysA,U00096.3,,2977637,2978899,-,diaminopimelate decarboxylase,Amino acid transport and metabolism,P00861,Op2789
b2839,lysR,U00096.3,,2979021,2979956,+,DNA-binding transcriptional dual regulator LysR,Transcription,P03030,Op2790
b2840,ygeA,U00096.3,,2979943,2980635,-,amino acid racemase YgeA,Cell wall/membrane/envelope biogenesis,P03813,Op2791
b2841,araE,U00096.3,,2980764,2982182,-,arabinose:H(+) symporter,Amino acid transport and metabolism,P0AE24,Op2792
b2842,kduD,U00096.3,,2982497,2983258,-,putative 2-keto-3-deoxy-D-gluconate dehydrogenase,Lipid transport and metabolism,P37769,Op2793
b2843,kduI,U00096.3,,2983288,2984124,-,5-dehydro-4-deoxy-D-glucuronate isomerase,Carbohydrate transport and metabolism,Q46938,Op2794
b2844,yqeF,U00096.3,,2984411,2985592,-,putative acyltransferase,Lipid transport and metabolism,Q46939,Op2795
b2845,yqeG,U00096.3,,2985847,2987076,+,putative transporter YqeG,Amino acid transport and metabolism,P63340,Op2796
