From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
AAC75650.1	P00888	reviewed	AROF_ECOLI	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive (EC 2.5.1.54) (3-deoxy-D-arabino-heptulosonate 7-phosphate synthase) (DAHP synthase) (Phospho-2-keto-3-deoxyheptonate aldolase)	aroF b2601 JW2582	Escherichia coli (strain K12)	356
AAC75651.2	P11289	reviewed	YFIL_ECOLI	Uncharacterized protein YfiL (URF2)	yfiL b2602 JW5412	Escherichia coli (strain K12)	121
AAC75652.1	P64548	reviewed	YFIR_ECOLI	Protein YfiR	yfiR b2603 JW2584	Escherichia coli (strain K12)	172
AAC75653.1	P46139	reviewed	DGCN_ECOLI	Diguanylate cyclase DgcN (DGC) (EC 2.7.7.65)	dgcN yfiN b2604 JW2585	Escherichia coli (strain K12)	408
AAC75654.1	P07021	reviewed	YFIB_ECOLI	Putative lipoprotein YfiB	yfiB b2605 JW2586	Escherichia coli (strain K12)	160
AAC75655.1	P0A7K6	reviewed	RL19_ECOLI	Large ribosomal subunit protein bL19 (50S ribosomal protein L19)	rplS b2606 JW2587	Escherichia coli (strain K12)	115
AAC75656.1	P0A873	reviewed	TRMD_ECOLI	tRNA (guanine-N(1)-)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase)	trmD b2607 JW2588	Escherichia coli (strain K12)	255
AAC75657.2	P0A7X6	reviewed	RIMM_ECOLI	Ribosome maturation factor RimM (21K)	rimM yfjA b2608 JW5413	Escherichia coli (strain K12)	182
AAC75658.1	P0A7T3	reviewed	RS16_ECOLI	Small ribosomal subunit protein bS16 (30S ribosomal protein S16)	rpsP b2609 JW2590	Escherichia coli (strain K12)	82
AAC75659.1	P0AGD7	reviewed	SRP54_ECOLI	Signal recognition particle protein (EC 3.6.5.4) (Fifty-four homolog) (Ffh) (p48)	ffh b2610 JW5414	Escherichia coli (strain K12)	453
AAC75660.2	P64432	reviewed	YPJD_ECOLI	Inner membrane protein YpjD	ypjD b2611 JW2592	Escherichia coli (strain K12)	263
AAT48144.3	P37908	reviewed	YFJD_ECOLI	UPF0053 inner membrane protein YfjD	yfjD ypjE b4461 JW5415 b2612/b2613	Escherichia coli (strain K12)	428
AAC75663.1	P09372	reviewed	GRPE_ECOLI	Protein GrpE (HSP-70 cofactor) (HSP24) (Heat shock protein B25.3)	grpE b2614 JW2594	Escherichia coli (strain K12)	197
AAC75664.1	P0A7B3	reviewed	NADK_ECOLI	NAD kinase (EC 2.7.1.23) (ATP-dependent NAD kinase)	nadK yfjB yfjE b2615 JW2596	Escherichia coli (strain K12)	292
AAT48145.1	P05824	reviewed	RECN_ECOLI	DNA repair protein RecN (Recombination protein N)	recN radB b2616 JW5416	Escherichia coli (strain K12)	553
AAC75666.2	P0A937	reviewed	BAME_ECOLI	Outer membrane protein assembly factor BamE	bamE smpA b2617 JW2598	Escherichia coli (strain K12)	113
AAC75667.2	P52119	reviewed	RATB_ECOLI	UPF0125 protein RatB	ratB pasI yfjF b2618 JW2599	Escherichia coli (strain K12)	96
AAC75668.1	P0AGL5	reviewed	RATA_ECOLI	Ribosome association toxin RatA (Toxin RatA)	ratA pasT yfjG b2619 JW2600	Escherichia coli (strain K12)	158
AAC75669.1	P0A832	reviewed	SSRP_ECOLI	SsrA-binding protein (Small protein B)	smpB smqB b2620 JW2601	Escherichia coli (strain K12)	160
AAC75670.1	P32053	reviewed	INTA_ECOLI	Prophage integrase IntA (Prophage CP4-57 integrase SlpA)	intA intX slpA b2622 JW2602	Escherichia coli (strain K12)	413
AAC75671.1	P52123	reviewed	YFJH_ECOLI	Uncharacterized protein YfjH	yfjH b2623 JW2603	Escherichia coli (strain K12)	318
AAC75672.1	P33997	reviewed	ALPA_ECOLI	DNA-binding transcriptional activator AlpA (Prophage CP4-57 regulatory protein AlpA)	alpA alp b2624 JW2604	Escherichia coli (strain K12)	70
AAC75673.1	P52124	reviewed	YFJI_ECOLI	Protein YfjI	yfjI b2625 JW2605	Escherichia coli (strain K12)	469
AAC75674.1	P52125	reviewed	YFJJ_ECOLI	Uncharacterized protein YfjJ	yfjJ b2626 JW2607	Escherichia coli (strain K12)	208
AAC75675.1	P52126	reviewed	ABPB_ECOLI	Anti-bacteriophage protein B (Probable helicase AbpB)	abpB yfjK b2627 JW2608	Escherichia coli (strain K12)	729
AAC75676.1	P52127	reviewed	ABPA_ECOLI	Anti-bacteriophage protein A	abpA yfjL b2628 JW2609	Escherichia coli (strain K12)	538
AAC75677.1	P52128	reviewed	YFJM_ECOLI	Uncharacterized protein YfjM	yfjM b2629 JW2610	Escherichia coli (strain K12)	87
AAC75678.1	P52129	reviewed	RNLA_ECOLI	mRNA endoribonuclease toxin LS (EC 3.1.-.-) (RNase LS) (Toxin LS)	rnlA std yfjN b2630 JW2611	Escherichia coli (strain K12)	357
AAC75679.2	P52130	reviewed	RNLB_ECOLI	Antitoxin RnlB	rnlB yfjO b2631 JW5418	Escherichia coli (strain K12)	123
AAT48146.1	P52131	reviewed	YFJP_ECOLI	Uncharacterized protein YfjP	yfjP b2632 JW5419	Escherichia coli (strain K12)	287
AAC75681.1	P52132	reviewed	YFJQ_ECOLI	UPF0380 protein YfjQ	yfjQ b2633 JW2614	Escherichia coli (strain K12)	273
AAC75682.1	P52133	reviewed	YFJR_ECOLI	Uncharacterized HTH-type transcriptional regulator YfjR	yfjR b2634 JW2615	Escherichia coli (strain K12)	233
AAC75683.2	P52134	reviewed	YPJK_ECOLI	Uncharacterized protein YpjK	ypjK b2635 JW5888	Escherichia coli (strain K12)	78
AAC75684.2	O52982	reviewed	YFJS_ECOLI	Lipoprotein YfjS	yfjS b2636 JW5921	Escherichia coli (strain K12)	147
AAC75685.1	P52135	reviewed	YFJT_ECOLI	Uncharacterized protein YfjT	yfjT b2637 JW2618	Escherichia coli (strain K12)	155
AYC08235.1	P0CF86	reviewed	YFJU_ECOLI	Putative arsenate reductase-like protein	yfjU b2638	Escherichia coli (strain K12)	104
AAC75690.1	P52138	reviewed	YFJW_ECOLI	Uncharacterized protein YfjW	yfjW b2642 JW2623	Escherichia coli (strain K12)	567
AAC75691.1	P52139	reviewed	YFJX_ECOLI	Uncharacterized protein YfjX	yfjX b2643 JW2624	Escherichia coli (strain K12)	152
AAC75692.1	P52140	reviewed	YFJY_ECOLI	UPF0758 protein YfjY	yfjY b2644 JW2625	Escherichia coli (strain K12)	160
ABD18698.1	P58033	reviewed	YPJJ_ECOLI	Uncharacterized protein YpjJ	ypjJ b4548 JW5421	Escherichia coli (strain K12)	66
AAC75693.1	P52141	reviewed	YFJZ_ECOLI	Antitoxin YfjZ	yfjZ b2645 JW2626	Escherichia coli (strain K12)	105
AAC75694.1	Q46953	reviewed	YPJF_ECOLI	Toxin YpjF	ypjF b2646 JW2627	Escherichia coli (strain K12)	109
AAC75695.2	P52143	reviewed	YPJA_ECOLI	Probable autotransporter YpjA	ypjA b2647 JW5422	Escherichia coli (strain K12)	1526
AYC08236.1	P76612	reviewed	YPJB_ECOLI	Protein YpjB	ypjB b2649 JW2629	Escherichia coli (strain K12)	263
AYC08237.1	P76613	reviewed	YPJC_ECOLI	Protein YpjC	ypjC b2650 JW5424	Escherichia coli (strain K12)	160
AAC75706.2	P76621	reviewed	GLAH_ECOLI	Glutarate 2-hydroxylase (G-2-H) (EC 1.14.11.64) (Carbon starvation induced protein D)	glaH csiD gab ygaT b2659 JW5427	Escherichia coli (strain K12)	325
AAC75707.2	P37339	reviewed	LHGD_ECOLI	L-2-hydroxyglutarate dehydrogenase (L2HG dehydrogenase) (EC 1.1.5.13) (L2HG:quinone oxidoreductase)	lhgD lhgO ygaF b2660 JW2635	Escherichia coli (strain K12)	422
AAC75708.1	P25526	reviewed	GABD_ECOLI	Succinate-semialdehyde dehydrogenase [NADP(+)] GabD (SSDH) (EC 1.2.1.79) (Glutarate-semialdehyde dehydrogenase) (EC 1.2.1.-)	gabD b2661 JW2636	Escherichia coli (strain K12)	482
AAC75709.1	P22256	reviewed	GABT_ECOLI	4-aminobutyrate aminotransferase GabT (EC 2.6.1.19) (5-aminovalerate transaminase) (EC 2.6.1.48) (GABA aminotransferase) (GABA-AT) (Gamma-amino-N-butyrate transaminase) (GABA transaminase) (Glutamate:succinic semialdehyde transaminase) (L-AIBAT)	gabT b2662 JW2637	Escherichia coli (strain K12)	426
AAC75710.1	P25527	reviewed	GABP_ECOLI	Gamma-aminobutyric acid permease (GABA permease) (4-aminobutyrate carrier) (4-aminobutyrate permease) (Gamma-aminobutyrate permease)	gabP b2663 JW2638	Escherichia coli (strain K12)	466
AAC75711.2	P37338	reviewed	GLAR_ECOLI	HTH-type transcriptional repressor GlaR (Carbon starvation induced regulator) (GlaH operon repressor)	glaR csiR gabC ygaE b2664 JW2639	Escherichia coli (strain K12)	220
AAC75712.1	P0ADE6	reviewed	KBP_ECOLI	Potassium binding protein Kbp (K(+) binding protein Kbp)	kbp ygaU yzzM b2665 JW2640	Escherichia coli (strain K12)	149
AAC75713.1	P0AE42	reviewed	YQAE_ECOLI	UPF0057 membrane protein YqaE	yqaE b2666 JW2641	Escherichia coli (strain K12)	52
AAC75714.1	P77295	reviewed	YGAV_ECOLI	Probable HTH-type transcriptional regulator YgaV	ygaV b2667 JW2642	Escherichia coli (strain K12)	99
AAC75715.1	P55734	reviewed	YGAP_ECOLI	Inner membrane protein YgaP	ygaP b2668 JW2643	Escherichia coli (strain K12)	174
AAC75716.1	P0ACG1	reviewed	STPA_ECOLI	DNA-binding protein StpA (H-NS homolog StpA)	stpA hnsB b2669 JW2644	Escherichia coli (strain K12)	134
AAC75717.1	P64550	reviewed	ALAE_ECOLI	L-alanine exporter AlaE	alaE ygaW b2670 JW2645	Escherichia coli (strain K12)	149
AAC75718.1	P0AD53	reviewed	YGAC_ECOLI	Uncharacterized protein YgaC	ygaC b2671 JW2646	Escherichia coli (strain K12)	114
AAC75719.2	P0ADQ7	reviewed	YGAM_ECOLI	Uncharacterized protein YgaM	ygaM b2672 JW2647	Escherichia coli (strain K12)	109
AAC75720.1	P0AC65	reviewed	NRDH_ECOLI	Glutaredoxin-like protein NrdH	nrdH ygaN b2673 JW2648	Escherichia coli (strain K12)	81
AAC75721.1	P0A772	reviewed	NRDI_ECOLI	Protein NrdI	nrdI ygaO b2674 JW2649	Escherichia coli (strain K12)	136
AAC75722.1	P39452	reviewed	RIR3_ECOLI	Ribonucleoside-diphosphate reductase 2 subunit alpha (EC 1.17.4.1) (R1E protein) (Ribonucleotide reductase 2)	nrdE b2675 JW2650	Escherichia coli (strain K12)	714
AAC75723.1	P37146	reviewed	RIR4_ECOLI	Ribonucleoside-diphosphate reductase 2 subunit beta (EC 1.17.4.1) (R2F protein) (Ribonucleotide reductase 2)	nrdF ygaD b2676 JW2651	Escherichia coli (strain K12)	319
AAC75724.1	P14175	reviewed	PROV_ECOLI	Glycine betaine/proline betaine transport system ATP-binding protein ProV	proV b2677 JW2652	Escherichia coli (strain K12)	400
AAC75725.1	P14176	reviewed	PROW_ECOLI	Glycine betaine/proline betaine transport system permease protein ProW	proW b2678 JW2653	Escherichia coli (strain K12)	354
AAC75726.1	P0AFM2	reviewed	PROX_ECOLI	Glycine betaine/proline betaine-binding periplasmic protein (GBBP)	proX proU b2679 JW2654	Escherichia coli (strain K12)	330
AAC75729.1	P76630	reviewed	YGAZ_ECOLI	Inner membrane protein YgaZ	ygaZ b2682 JW2657	Escherichia coli (strain K12)	245
AAC75730.1	P43667	reviewed	YGAH_ECOLI	Uncharacterized protein YgaH	ygaH b2683 JW2658	Escherichia coli (strain K12)	111
AAC75731.1	P0ACR9	reviewed	MPRA_ECOLI	Transcriptional repressor MprA (Protein EmrR)	mprA emrR b2684 JW2659	Escherichia coli (strain K12)	176
AAC75732.1	P27303	reviewed	EMRA_ECOLI	Multidrug export protein EmrA	emrA b2685 JW2660	Escherichia coli (strain K12)	390
AAC75733.1	P0AEJ0	reviewed	EMRB_ECOLI	Multidrug export protein EmrB	emrB b2686 JW2661	Escherichia coli (strain K12)	512
AAC75734.1	P45578	reviewed	LUXS_ECOLI	S-ribosylhomocysteine lyase (EC 4.4.1.21) (AI-2 synthesis protein) (Autoinducer-2 production protein LuxS)	luxS ygaG b2687 JW2662	Escherichia coli (strain K12)	171
AAC75735.1	P0A6W9	reviewed	GSH1_ECOLI	Glutamate--cysteine ligase (EC 6.3.2.2) (Gamma-ECS) (GCS) (Gamma-glutamylcysteine synthetase)	gshA gsh-I b2688 JW2663	Escherichia coli (strain K12)	518
AAC75736.1	P0ADR0	reviewed	YQAA_ECOLI	Inner membrane protein YqaA	yqaA b2689 JW2664	Escherichia coli (strain K12)	142
AAC75737.1	P77475	reviewed	YQAB_ECOLI	Fructose-1-phosphate phosphatase YqaB (EC 3.1.3.-) (Fructose-1-phosphatase)	yqaB b2690 JW2665	Escherichia coli (strain K12)	188
AAC75738.1	P69913	reviewed	CSRA_ECOLI	Carbon storage regulator (Translational dual regulator CsrA)	csrA zfiA b2696 JW2666	Escherichia coli (strain K12)	61
AAC75739.1	P00957	reviewed	SYA_ECOLI	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase) (EC 6.-.-.-)	alaS lovB b2697 JW2667	Escherichia coli (strain K12)	876
AAC75740.1	P33596	reviewed	RECX_ECOLI	Regulatory protein RecX (Protein OraA)	recX oraA b2698 JW2668	Escherichia coli (strain K12)	166
AAC75741.1	P0A7G6	reviewed	RECA_ECOLI	Protein RecA (Recombinase A)	recA lexB recH rnmB tif umuB zab b2699 JW2669	Escherichia coli (strain K12)	353
AAC75742.1	P0A6G3	reviewed	PNCC_ECOLI	Nicotinamide-nucleotide amidohydrolase PncC (NMN amidohydrolase PncC) (EC 3.5.1.42) (NMN deamidase) (Nicotinamide-nucleotide amidase)	pncC ygaD b2700 JW2670	Escherichia coli (strain K12)	165
AAC75743.1	P41052	reviewed	MLTB_ECOLI	Membrane-bound lytic murein transglycosylase B (EC 4.2.2.n1) (35 kDa soluble lytic transglycosylase) (Murein hydrolase B) (Slt35)	mltB b2701 JW2671	Escherichia coli (strain K12)	361
AAT48148.1	P56579	reviewed	PTHC_ECOLI	PTS system glucitol/sorbitol-specific EIIC component (EIIC-Gut) (Glucitol/sorbitol permease IIC component)	srlA gutA sbl b2702 JW5429	Escherichia coli (strain K12)	187
AAT48149.1	P56580	reviewed	PTHB_ECOLI	PTS system glucitol/sorbitol-specific EIIB component (EC 2.7.1.198) (EII-Gut) (Enzyme II-Gut) (Glucitol/sorbitol-specific phosphotransferase enzyme IIB component)	srlE gutA gutE b2703 JW5430	Escherichia coli (strain K12)	319
AAC75746.1	P05706	reviewed	PTHA_ECOLI	PTS system glucitol/sorbitol-specific EIIA component (EIIA-Gut) (EIII-Gut) (Glucitol/sorbitol-specific phosphotransferase enzyme IIA component)	srlB gutB b2704 JW2673	Escherichia coli (strain K12)	123
AAC75747.1	P05707	reviewed	SRLD_ECOLI	Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140) (Glucitol-6-phosphate dehydrogenase) (Ketosephosphate reductase)	srlD gutD b2705 JW2674	Escherichia coli (strain K12)	259
AAC75748.1	P15081	reviewed	GUTM_ECOLI	Glucitol operon activator protein	gutM srlM b2706 JW2675	Escherichia coli (strain K12)	119
AAC75749.1	P15082	reviewed	SRLR_ECOLI	Glucitol operon repressor	srlR gutR b2707 JW2676	Escherichia coli (strain K12)	257
AAC75750.2	P17115	reviewed	GUTQ_ECOLI	Arabinose 5-phosphate isomerase GutQ (API) (G-API) (EC 5.3.1.13) (Phosphosugar aldol-ketol isomerase)	gutQ srlQ b2708 JW5431	Escherichia coli (strain K12)	321
AAC75751.2	P37013	reviewed	NORR_ECOLI	Anaerobic nitric oxide reductase transcription regulator NorR	norR ygaA b2709 JW5843	Escherichia coli (strain K12)	504
AAC75752.1	Q46877	reviewed	NORV_ECOLI	Anaerobic nitric oxide reductase flavorubredoxin (FlRd) (FlavoRb)	norV flrD ygaI ygaJ ygaK b2710 JW2680	Escherichia coli (strain K12)	479
AAC75753.1	P37596	reviewed	NORW_ECOLI	Nitric oxide reductase FlRd-NAD(+) reductase (EC 1.18.1.-) (Flavorubredoxin reductase) (FlRd-reductase) (FlavoRb reductase)	norW flrR ygbD b2711 JW2681	Escherichia coli (strain K12)	377
AAC75754.1	P30131	reviewed	HYPF_ECOLI	Carbamoyltransferase HypF (EC 6.2.-.-) (Carbamoyl phosphate-converting enzyme HypF) ([NiFe]-hydrogenase maturation factor HypF) (Hydrogenase maturation protein HypF)	hypF hydA b2712 JW5433	Escherichia coli (strain K12)	750
AAC75755.1	P0AAK4	reviewed	HYDN_ECOLI	Electron transport protein HydN	hydN b2713 JW2683	Escherichia coli (strain K12)	175
AAC75756.2	P24242	reviewed	ASCG_ECOLI	HTH-type transcriptional regulator AscG (Cryptic asc operon repressor)	ascG b2714 JW5434	Escherichia coli (strain K12)	336
AAT48150.1	P24241	reviewed	PTIBC_ECOLI	PTS system arbutin-, cellobiose-, and salicin-specific EIIBC component (EIIBC-Asc) (EII-Asc) [Includes: Arbutin-, cellobiose-, and salicin-specific phosphotransferase enzyme IIB component (EC 2.7.1.-) (PTS system arbutin-, cellobiose-, and salicin-specific EIIB component); Arbutin, cellobiose, and salicin permease IIC component (PTS system arbutin-, cellobiose-, and salicin-specific EIIC component)]	ascF b2715 JW5435	Escherichia coli (strain K12)	485
AAC75758.1	P24240	reviewed	ASCB_ECOLI	6-phospho-beta-glucosidase AscB (EC 3.2.1.86)	ascB b2716 JW2686	Escherichia coli (strain K12)	474
AAC75759.1	P0AEV9	reviewed	HYCI_ECOLI	Hydrogenase 3 maturation protease (EC 3.4.23.51) (HycI protease)	hycI b2717 JW2687	Escherichia coli (strain K12)	156
AAC75760.1	P0AEV7	reviewed	HYCH_ECOLI	Formate hydrogenlyase maturation protein HycH	hycH hevH b2718 JW2688	Escherichia coli (strain K12)	136
AAC75761.1	P16433	reviewed	HYCG_ECOLI	Formate hydrogenlyase subunit 7 (FHL subunit 7) (Hydrogenase-3 component G)	hycG hevG b2719 JW2689	Escherichia coli (strain K12)	255
AAC75762.1	P16432	reviewed	HYCF_ECOLI	Formate hydrogenlyase subunit 6 (FHL subunit 6) (Hydrogenase-3 component F)	hycF hevF b2720 JW2690	Escherichia coli (strain K12)	180
AAC75763.1	P16431	reviewed	HYCE_ECOLI	Formate hydrogenlyase subunit 5 (FHL subunit 5) (Hydrogenase-3 component E)	hycE hevE b2721 JW2691	Escherichia coli (strain K12)	569
AAC75764.1	P16430	reviewed	HYCD_ECOLI	Formate hydrogenlyase subunit 4 (FHL subunit 4) (Hydrogenase 3 component D)	hycD hevD b2722 JW2692	Escherichia coli (strain K12)	307
AAC75765.1	P16429	reviewed	HYCC_ECOLI	Formate hydrogenlyase subunit 3 (FHL subunit 3) (Hydrogenase-3 component C)	hycC hevC b2723 JW2693	Escherichia coli (strain K12)	608
AAC75766.1	P0AAK1	reviewed	HYCB_ECOLI	Formate hydrogenlyase subunit 2 (FHL subunit 2) (Hydrogenase-3 component B)	hycB hevB b2724 JW2694	Escherichia coli (strain K12)	203
AAC75767.1	P0AEV4	reviewed	HYCA_ECOLI	Formate hydrogenlyase regulatory protein HycA	hycA hevA b2725 JW2695	Escherichia coli (strain K12)	153
AAC75768.1	P0A700	reviewed	HYPA_ECOLI	Hydrogenase maturation factor HypA	hypA b2726 JW2696	Escherichia coli (strain K12)	116
AAC75769.1	P0AAN3	reviewed	HYPB_ECOLI	Hydrogenase maturation factor HypB (Hydrogenase isoenzymes nickel incorporation protein HypB)	hypB b2727 JW2697	Escherichia coli (strain K12)	290
AAC75770.1	P0AAM3	reviewed	HYPC_ECOLI	Hydrogenase maturation factor HypC (Chaperone-type protein HypC) (Hydrogenase accessory chaperone HypC)	hypC b2728 JW2698	Escherichia coli (strain K12)	90
AAC75771.1	P24192	reviewed	HYPD_ECOLI	Hydrogenase maturation factor HypD (Hydrogenase isoenzymes formation protein HypD)	hypD b2729 JW2699	Escherichia coli (strain K12)	373
AAC75772.2	P24193	reviewed	HYPE_ECOLI	Carbamoyl dehydratase HypE (EC 4.2.1.-) (Hydrogenase maturation factor HypE)	hypE b2730 JW2700	Escherichia coli (strain K12)	336
AAC75773.1	P19323	reviewed	FHLA_ECOLI	Formate hydrogenlyase transcriptional activator FhlA	fhlA b2731 JW2701	Escherichia coli (strain K12)	692
AAC75774.1	P25728	reviewed	YGBA_ECOLI	Uncharacterized protein YgbA	ygbA b2732 JW2702	Escherichia coli (strain K12)	117
AAC75775.1	P23909	reviewed	MUTS_ECOLI	DNA mismatch repair protein MutS	mutS fdv b2733 JW2703	Escherichia coli (strain K12)	853
AAC75776.1	P55799	reviewed	PRP2_ECOLI	Serine/threonine-protein phosphatase 2 (EC 3.1.3.16)	pphB prpB ygbH b2734 JW2704	Escherichia coli (strain K12)	218
AAC75777.2	P52598	reviewed	YGBI_ECOLI	Uncharacterized HTH-type transcriptional regulator YgbI	ygbI b2735 JW2705	Escherichia coli (strain K12)	255
AAC75778.1	Q46888	reviewed	LTND_ECOLI	L-threonate dehydrogenase (EC 1.1.1.411)	ltnD ygbJ b2736 JW2706	Escherichia coli (strain K12)	302
AAC75779.1	Q46889	reviewed	OTNK_ECOLI	3-oxo-tetronate kinase (EC 2.7.1.217) (3-dehydrotetronate 4-kinase)	otnK ygbK b2737 JW2707	Escherichia coli (strain K12)	388
AAC75780.1	Q46890	reviewed	OTNC_ECOLI	3-oxo-tetronate 4-phosphate decarboxylase (EC 4.1.1.104)	otnC ygbL b2738 JW2708	Escherichia coli (strain K12)	212
AAC75781.1	Q46891	reviewed	OTNI_ECOLI	2-oxo-tetronate isomerase (EC 5.3.1.35) (2-dehydrotetronate isomerase) (Glyoxylate-induced protein YgbM)	otnI ygbM b2739 JW2709	Escherichia coli (strain K12)	258
AAC75782.1	Q46892	reviewed	YGBN_ECOLI	Inner membrane permease YgbN	ygbN b2740 JW2710	Escherichia coli (strain K12)	454
AAC75783.1	P13445	reviewed	RPOS_ECOLI	RNA polymerase sigma factor RpoS (Sigma S) (Sigma-38)	rpoS appR katF nur otsX sigS b2741 JW5437	Escherichia coli (strain K12)	330
AAC75784.1	P0ADA3	reviewed	NLPD_ECOLI	Murein hydrolase activator NlpD	nlpD b2742 JW2712	Escherichia coli (strain K12)	379
AAC75785.1	P0A7A5	reviewed	PIMT_ECOLI	Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77) (L-isoaspartyl protein carboxyl methyltransferase) (Protein L-isoaspartyl methyltransferase) (Protein-beta-aspartate methyltransferase) (PIMT)	pcm b2743 JW2713	Escherichia coli (strain K12)	208
AAC75786.1	P0A840	reviewed	SURE_ECOLI	5'/3'-nucleotidase SurE (EC 3.1.3.5) (EC 3.1.3.6) (Exopolyphosphatase) (EC 3.6.1.11) (Nucleoside monophosphate phosphohydrolase) (Stationary-phase survival protein SurE)	surE ygbC b2744 JW2714	Escherichia coli (strain K12)	253
AAC75787.1	Q57261	reviewed	TRUD_ECOLI	tRNA pseudouridine synthase D (EC 5.4.99.27) (tRNA pseudouridine(13) synthase) (tRNA pseudouridylate synthase D) (tRNA-uridine isomerase D)	truD ygbO b2745 JW2715	Escherichia coli (strain K12)	349
AAC75788.1	P62617	reviewed	ISPF_ECOLI	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase (MECDP-synthase) (MECPP-synthase) (MECPS) (EC 4.6.1.12)	ispF mecS ygbB b2746 JW2716	Escherichia coli (strain K12)	159
AAC75789.1	Q46893	reviewed	ISPD_ECOLI	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase (EC 2.7.7.60) (4-diphosphocytidyl-2C-methyl-D-erythritol synthase) (CDP-ME synthase) (MEP cytidylyltransferase) (MCT)	ispD ygbP b2747 JW2717	Escherichia coli (strain K12)	236
AAC75790.1	P0A6S5	reviewed	FTSB_ECOLI	Cell division protein FtsB	ftsB ygbQ b2748 JW2718	Escherichia coli (strain K12)	103
AAC75791.1	P46141	reviewed	YGBE_ECOLI	Inner membrane protein YgbE	ygbE b2749 JW2719	Escherichia coli (strain K12)	107
AAC75792.1	P0A6J1	reviewed	CYSC_ECOLI	Adenylyl-sulfate kinase (EC 2.7.1.25) (APS kinase) (ATP adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenosine-5'-phosphosulfate kinase)	cysC b2750 JW2720	Escherichia coli (strain K12)	201
AAC75793.1	P23845	reviewed	CYSN_ECOLI	Sulfate adenylyltransferase subunit 1 (EC 2.7.7.4) (ATP-sulfurylase large subunit) (Sulfate adenylate transferase) (SAT)	cysN b2751 JW2721	Escherichia coli (strain K12)	475
AAC75794.1	P21156	reviewed	CYSD_ECOLI	Sulfate adenylyltransferase subunit 2 (EC 2.7.7.4) (ATP-sulfurylase small subunit) (Sulfate adenylate transferase) (SAT)	cysD b2752 JW2722	Escherichia coli (strain K12)	302
AAC75795.1	P10423	reviewed	IAP_ECOLI	Alkaline phosphatase isozyme conversion protein (EC 3.4.11.-)	iap b2753 JW2723	Escherichia coli (strain K12)	345
AAC75796.2	P45956	reviewed	CAS2_ECOLI	CRISPR-associated endoribonuclease Cas2 (EC 3.1.-.-)	ygbF cas2 b2754 JW5438	Escherichia coli (strain K12)	94
AAC75797.1	Q46896	reviewed	CAS1_ECOLI	CRISPR-associated endonuclease Cas1 (EC 3.1.-.-)	ygbT cas1 b2755 JW2725	Escherichia coli (strain K12)	305
AAC75798.1	Q46897	reviewed	CAS6_ECOLI	CRISPR system Cascade subunit CasE (EC 3.1.-.-) (CasE endoRNase) (crRNA endonuclease)	casE cas6e ygcH b2756 JW2726	Escherichia coli (strain K12)	199
AAC75799.2	Q46898	reviewed	CAS5_ECOLI	CRISPR system Cascade subunit CasD	casD cas5 ygcI b2757 JW5844	Escherichia coli (strain K12)	224
AAC75800.1	Q46899	reviewed	CASC_ECOLI	CRISPR system Cascade subunit CasC	casC cas4 cse4 ygcJ b2758 JW2728	Escherichia coli (strain K12)	363
AAC75801.1	P76632	reviewed	CSE2_ECOLI	CRISPR system Cascade subunit CasB	casB cse2 ygcK b2759 JW2729	Escherichia coli (strain K12)	160
AAC75802.1	Q46901	reviewed	CSE1_ECOLI	CRISPR system Cascade subunit CasA (CRISPR type I-E/Ecoli-associated protein CasA/Cse1) (CRISPR-associated protein CasA/Cse1)	casA cse1 ygcL b2760 JW2730	Escherichia coli (strain K12)	502
AAC75803.1	P38036	reviewed	CAS3_ECOLI	CRISPR-associated endonuclease/helicase Cas3 (EC 3.1.-.-) (EC 3.6.4.-)	ygcB cas3 b2761 JW2731	Escherichia coli (strain K12)	888
AAC75804.1	P17854	reviewed	CYSH_ECOLI	Phosphoadenosine 5'-phosphosulfate reductase (PAPS reductase) (EC 1.8.4.8) (3'-phosphoadenylylsulfate reductase) (PAPS reductase, thioredoxin dependent) (PAPS sulfotransferase) (PAdoPS reductase)	cysH b2762 JW2732	Escherichia coli (strain K12)	244
AAC75805.1	P17846	reviewed	CYSI_ECOLI	Sulfite reductase [NADPH] hemoprotein beta-component (SiR-HP) (SiRHP) (EC 1.8.1.2)	cysI b2763 JW2733	Escherichia coli (strain K12)	570
AAC75806.1	P38038	reviewed	CYSJ_ECOLI	Sulfite reductase [NADPH] flavoprotein alpha-component (SiR-FP) (EC 1.8.1.2)	cysJ b2764 JW2734	Escherichia coli (strain K12)	599
AAC75807.1	P65870	reviewed	QUED_ECOLI	6-carboxy-5,6,7,8-tetrahydropterin synthase (CPH4 synthase) (EC 4.1.2.50) (Queuosine biosynthesis protein QueD)	queD ygcM b2765 JW2735	Escherichia coli (strain K12)	121
