Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Characterization	Genes in same transcription unit	Accession-1
xisE	b1141	1200787	1201032	e14 prophage; putative excisionase	PARTIAL	ymfH // xisE // intE	b1141
ypeC	b2390	2511001	2511327	DUF2502 domain-containing protein YpeC	UNCHARACTERIZED	ypeC	b2390
purE	b0523	552591	553100	<i>N<sup>5</sup></i>-carboxyaminoimidazole ribonucleotide mutase	WELL-CHARACTERIZED	purK // purE	b0523
mgtT	b4775	1622741	1622845	protein MgtT	UNCHARACTERIZED		b4775
mcrB	b4346	4577958	4579337	mcrB-S // Type IV methyl-directed restriction enzyme EcoKMcrB subunit	WELL-CHARACTERIZED	mcrC // mcrB	b4346
blr	b4409	1704551	1704676	&beta;-lactam resistance protein	PARTIAL	blr	b4409
ybbA	b0495	519733	520419	putative ABC transporter ATP-binding protein YbbA	PARTIAL	ybbP // ybbA	b0495
msrQ	b1972	2040483	2041118	membrane-bound flavocytochrome MsrQ	WELL-CHARACTERIZED	hiuH // msrQ // msrP	b1972
insCD4		2996372	2997600	IS2 element transposase InsAB'	PARTIAL	insC4 // insD4 // insCD4 // ygeO // ygeN	
mglA	b2149	2237769	2239289	D-galactose/methyl-galactoside ABC transporter ATP binding subunit	WELL-CHARACTERIZED	mglB // mglC // mglA	b2149
barA	b2786	2915057	2917813	BarA-<i>N</i>-phospho-L-histidine-861 // BarA-<i>N</i>-phospho-L-histidine-302 // BarA-phospho-L-aspartate-718 // sensor histidine kinase BarA	WELL-CHARACTERIZED	barA	b2786
yqeF	b2844	2984411	2985592	putative acyltransferase	WELL-CHARACTERIZED	yqeF	b2844
prs	b1207	1260928	1261875	ribose-phosphate diphosphokinase	WELL-CHARACTERIZED	ispE // lolB // prs	b1207
ada	b2213	2309341	2310405	DNA-binding transcriptional dual regulator / DNA repair protein Ada	WELL-CHARACTERIZED	alkB // ada	b2213
ypfJ	b2475	2595874	2596737	uncharacterized protein YpfJ	UNCHARACTERIZED	ypfJ // tmcA	b2475
ohsC	b4608	2700520	2700598	small regulatory RNA OhsC	PARTIAL	ohsC	b4608
hyfG	b2487	2608487	2610154	hydrogenase 4 catalytic subunit HyfG	PARTIAL	focB // hyfR // hyfJ // hyfI // hyfH // hyfG // hyfF // hyfE // hyfD // hyfC // hyfB // hyfA	b2487
relE	b1563	1645346	1645633	Qin prophage; mRNA interferase toxin RelE	WELL-CHARACTERIZED	relB // relE // hokD	b1563
insAB3		290649	291346	InsAB' transposase	PARTIAL	insA3 // insB3 // insAB3	
osmY	b4376	4611396	4612001	osmotically inducible protein Y	PARTIAL	osmY	b4376
srlR	b2707	2829047	2829820	DNA-binding transcriptional repressor SrlR	PARTIAL	srlA // srlE // srlB // srlD // gutM // srlR // gutQ	b2707
gspM	b3334	3465082	3465543	cryptic type II secretion system protein GspM	WELL-CHARACTERIZED	gspO // gspM // gspL // gspK // gspJ // gspI // gspH // gspG // gspF // gspE // gspD // gspC	b3334
ghoS	b4128	4352584	4352880	antitoxin of the GhoTS toxin-antitoxin system	PARTIAL	ghoT // ghoS	b4128
yeaQ	b1795	1879007	1879255	PF04226 family protein YeaQ	UNCHARACTERIZED	yeaQ	b1795
cmtA	b2933	3077471	3078859	mannitol-specific PTS enzyme IICB component CmtA	WELL-CHARACTERIZED	cmtB // cmtA // yggP // yggF // yggC // fumE	b2933
nfrB	b0569	590941	593178	cyclic di-3',5'-guanylate-activated glycosyltransferase	WELL-CHARACTERIZED	nfrA // nfrB	b0569
C0067		238462	238586				
yehP	b2121	2207967	2209103	VWA domain-containing protein YehP	PARTIAL	yehQ // yehP // yehM // yehL	b2121
fsr	b0479	503476	504696	fosmidomycin efflux pump	WELL-CHARACTERIZED	fsr	b0479
dpaA	b0224	245065	245805	peptidoglycan <i>meso</i>-diaminopimelic acid protein amidase A	WELL-CHARACTERIZED	dpaA	b0224
zapC	b0946	1005952	1006494	cell division protein ZapC	PARTIAL	zapC	b0946
yncI	b1459	1530586	1531639	putative transposase YncI		yncI	b1459
bcsE	b3536	3696458	3698029	c-di-GMP-binding protein BcsE	PARTIAL	bcsG // bcsF // bcsE	b3536
sibD	b4447	3194721	3194865	small RNA SibD	PARTIAL	sibD	b4447
rep	b3778	3960677	3962698	ATP-dependent DNA helicase Rep	WELL-CHARACTERIZED	rep	b3778
ynaK	b1365	1425377	1425640	Rac prophage; ParB-like nuclease domain-containing protein YnaK	UNCHARACTERIZED	ydaY // ynaK	b1365
dosP	b1489	1563334	1565733	oxygen-sensing c-di-GMP phosphodiesterase DosP	WELL-CHARACTERIZED	dosP // dosC	b1489
ftsX	b3462	3601028	3602086	cell division protein FtsX	PARTIAL	ftsX // ftsE // ftsY	b3462
asphoP	b4843	1190165	1190508	small antisense RNA AsphoP	UNCHARACTERIZED	asphoP	b4843
nusA	b3169	3316039	3317526	transcription termination/antitermination protein NusA	WELL-CHARACTERIZED	pnp // rpsO // truB // rbfA // nusA // rimP // metY // infB	b3169
lplT	b2835	2972669	2973862	lysophospholipid transporter	WELL-CHARACTERIZED	aas // lplT	b2835
yjhZ	b4657	4534430	4534675	KpLE2 phage-like element; putative acetyltransferase YjhZ			b4657
yhaL	b3107	3255043	3255207	uncharacterized protein YhaL	UNCHARACTERIZED	yhaL // yhaK	b3107
ydcR	b1439	1510003	1511409	fused putative DNA-binding transcriptional regulator/putative aminotransferase YdcR	PARTIAL	ydcR	b1439
cyuA	b4470	3255341	3256651	L-cysteine desulfidase	WELL-CHARACTERIZED	cyuP // cyuA	b4470
yoeI	b4678	2087052	2087114	uncharacterized protein YoeI	UNCHARACTERIZED		b4678
pspH	b4758	4263139	4263249	small regulatory RNA PspH	WELL-CHARACTERIZED	pspH // pspG	b4758
yhgN	b3434	3575071	3575664	MarC family putative inner membrane protein YhgN	PARTIAL	yhgN	b3434
rplN	b3310	3447778	3448149	50S ribosomal subunit protein L14	WELL-CHARACTERIZED	rpmJ // secY // rplO // rpmD // rpsE // rplR // rplF // rpsH // rpsN // rplE // rplX // rplN	b3310
gfcC	b0985	1047945	1048691	capsule biosynthesis GfcC family protein	PARTIAL	gfcB // gfcC // gfcD	b0985
lsrB	b1516	1605051	1606073	Autoinducer-2 ABC transporter periplasmic binding protein	WELL-CHARACTERIZED	lsrG // lsrF // lsrB // lsrD // lsrC // lsrA // tam	b1516
nuoN	b2276	2390048	2391505	NADH:quinone oxidoreductase subunit N	WELL-CHARACTERIZED	nuoL // nuoK // nuoJ // nuoI // nuoH // nuoG // nuoF // nuoE // nuoC // nuoB // nuoA // nuoN // nuoM	b2276
allC	b0516	544057	545292	allantoate amidohydrolase	WELL-CHARACTERIZED	allE // allC // allD	b0516
uxuB	b4323	4552901	4554361	D-mannonate oxidoreductase	WELL-CHARACTERIZED	uxuB // uxuA	b4323
ycbU	b0942	1002889	1003431	putative fimbrial protein YcbU	PARTIAL	ycbF // ycbV // ycbU // elfG // elfC // elfD	b0942
ftsN	b3933	4122380	4123339	cell division protein FtsN	PARTIAL		b3933
b3975	b3975	4175213	4175368				b3975
murF	b0086	94650	96008	UDP-<i>N</i>-acetylmuramoyl-tripeptide&mdash;D-alanyl-D-alanine ligase	WELL-CHARACTERIZED	mraZ // rsmH // ftsO // lpxC // ftsZ // ftsA // ftsQ // ddlB // murC // murG // ftsW // murD // mraY // murF // murE // ftsI // ftsL	b0086
arsR	b3501	3648528	3648881	DNA-binding transcriptional repressor ArsR	WELL-CHARACTERIZED	arsR // arsB // arsC	b3501
yeiQ	b2172	2266245	2267711	putative oxidoreductase YeiQ	PARTIAL	yeiQ	b2172
yddY	b4746	1567178	1567219	protein YddY	UNCHARACTERIZED		b4746
yfiB	b2605	2743625	2744107	lipoprotein YfiB	UNCHARACTERIZED	yfiB // dgcN // yfiR	b2605
rhsA	b3593	3762183	3766316	rhs element protein RhsA	UNCHARACTERIZED	rhsA // yibA	b3593
metZ	b2814	2947387	2947463	tRNA-initiator Met(CAU)	WELL-CHARACTERIZED	metZ // metW // metV	b2814
prpC	b0333	350012	351181	2-methylcitrate synthase	WELL-CHARACTERIZED	prpE // prpD // prpC // prpB	b0333
phoB	b0399	417142	417831	DNA-binding transcriptional dual regulator PhoB-phosphorylated // DNA-binding transcriptional dual regulator PhoB	WELL-CHARACTERIZED	phoB // phoR	b0399
mepA	b2328	2445560	2446384	peptidoglycan DD-endopeptidase/peptidoglycan LD-endopeptidase	WELL-CHARACTERIZED	prmB // aroC // mepA // yfcA // epmC // yfcL	b2328
erpA	b0156	176610	176954	iron-sulfur cluster insertion protein ErpA	WELL-CHARACTERIZED	erpA	b0156
leuQ	b4370	4606315	4606401	tRNA-Leu(CAG)	WELL-CHARACTERIZED	leuP // leuQ // leuV	b4370
yehM	b2120	2205695	2207974	uncharacterized protein YehM	UNCHARACTERIZED	yehQ // yehP // yehM // yehL	b2120
yggI	b2944	3089755	3090252	protein YggI	UNCHARACTERIZED	yggI	b2944
yiaO	b3579	3746094	3747080	2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - periplasmic binding protein	WELL-CHARACTERIZED	yiaM // sgbE // sgbU // sgbH // lyxK // yiaO // yiaN // yiaL // yiaK	b3579
ybiO	b0808	843255	845480	moderate conductance mechanosensitive channel YbiO	WELL-CHARACTERIZED	ybiO	b0808
insH8	b2192	2289065	2290045	IS<i>5</i> transposase and trans-activator	PARTIAL	insH8	b2192
yffP	b2447	2562524	2563117	CPZ-55 prophage; uncharacterized protein YffP	UNCHARACTERIZED	yffP // yffO	b2447
rhaR	b3906	4098646	4099494	DNA-binding transcriptional activator RhaR	WELL-CHARACTERIZED	rhaS // rhaR	b3906
udk	b2066	2142307	2142948	uridine/cytidine kinase	WELL-CHARACTERIZED	udk // dcd	b2066
ygcS	b2771	2896533	2897870	putative transporter YgcS	PARTIAL	ygcS	b2771
zur	b4046	4259488	4260003	DNA-binding transcriptional repressor Zur	WELL-CHARACTERIZED	zur	b4046
gcvB	b4443	2942696	2942901	small regulatory RNA GcvB	WELL-CHARACTERIZED	gcvB	b4443
yibW	b4651	3768892	3769256				b4651
glnD	b0167	185978	188650	protein-PII uridylyltransferase/uridylyl-removing enzyme	WELL-CHARACTERIZED	map // glnD // dapD	b0167
aaaD	b4634	581354	581662	DLP12 prophage; protein AaaD			b4634
yeeH	b4639	2066068	2066154				b4639
yaiS	b0364	384059	384616	putative deacetylase YaiS	PARTIAL	yaiS	b0364
katG	b3942	4133835	4136015	catalase/hydroperoxidase HPI	WELL-CHARACTERIZED	katG	b3942
nuoE	b2285	2401552	2402052	NADH:quinone oxidoreductase subunit E	WELL-CHARACTERIZED	nuoL // nuoK // nuoJ // nuoI // nuoH // nuoG // nuoF // nuoE // nuoC // nuoB // nuoA // nuoN // nuoM	b2285
ydjJ	b1774	1857790	1858833	putative zinc-binding dehydrogenase YdjJ	PARTIAL	ydjL // ydjK // ydjJ // ydjI // ydjH // ydjG	b1774
acs	b4069	4285413	4287371	acetyl-CoA synthetase (AMP-forming)	WELL-CHARACTERIZED	acs // actP // yjcH	b4069
panF	b3258	3407607	3409058	pantothenate:Na+ symporter	WELL-CHARACTERIZED	yhdT // panF // prmA	b3258
yihD	b3858	4042069	4042338	DUF1040 domain-containing protein YihD	UNCHARACTERIZED	yihD	b3858
dsbC	b2893	3038112	3038822	protein disulfide isomerase DsbC	WELL-CHARACTERIZED	lysS // prfB // recJ // dsbC // xerD	b2893
pdeA	b2395	2515643	2517832	putative cyclic di-GMP phosphodiesterase PdeA	PARTIAL	pdeA	b2395
ybfG	b0691	715947	716597	PF10964 domain-containing protein YbfG		ybfG	b0691
yhhW	b3439	3578950	3579645	quercetin 2,3-dioxygenase	PARTIAL	yhhW	b3439
ileU	b3277	3427076	3427152	tRNA-Ile(GAU)	WELL-CHARACTERIZED	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3277
yajI	b0412	432312	432851	putative lipoprotein YajI	UNCHARACTERIZED	yajI	b0412
yfjW	b2642	2773318	2775021	CP4-57 prophage; uncharacterized protein YfjW	UNCHARACTERIZED	yfjW	b2642
npr	b3206	3347966	3348238	Npr-<i>N</i>-phospho-L-histidine // phosphorelay protein NPr	WELL-CHARACTERIZED	npr // kdsD // yrbG // lptC // kdsC // lptA // rapZ // ptsN // hpf // rpoN // lptB	b3206
rlmN	b2517	2643129	2644283	23S rRNA m<sup>2</sup>A2503 methyltransferase/tRNA m<sup>2</sup>A37 methyltransferase	WELL-CHARACTERIZED	rlmN	b2517
xseB	b0422	441101	441343	exodeoxyribonuclease VII subunit XseB	WELL-CHARACTERIZED	dxs // ispA // xseB // yajO	b0422
micA	b4442	2814802	2814874	small regulatory RNA MicA	WELL-CHARACTERIZED	micA	b4442
alaU	b3276	3426958	3427033	tRNA-Ala(UGC)	WELL-CHARACTERIZED	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3276
ymfL	b1147	1203268	1203825	e14 prophage; uncharacterized protein YmfL	UNCHARACTERIZED	tfaP // ycfK // ymfQ // jayE // beeE // ymfR // ymfN // ymfM // ymfL // ymfT	b1147
trkG	b1363	1423782	1425239	Rac prophage; Na<sup>+</sup>-dependent K<sup>+</sup> transporter TrkG	WELL-CHARACTERIZED	trkG	b1363
csgB	b1041	1103951	1104406	curlin, minor subunit	PARTIAL	csgB // csgA // csgC	b1041
nrdD	b4238	4460522	4462660	anaerobic ribonucleoside-triphosphate reductase	WELL-CHARACTERIZED	nrdD // nrdG	b4238
fimH	b4320	4548808	4549710	type 1 fimbriae D-mannose specific adhesin	WELL-CHARACTERIZED	fimR2 // fimD // fimH // fimG // fimF // fimC // fimI // fimA	b4320
alaS	b2697	2819381	2822011	alanine&mdash;tRNA ligase/DNA-binding transcriptional repressor	WELL-CHARACTERIZED	alaS	b2697
yfdT	b2363	2475873	2476178	CPS-53 (KpLE1) prophage; protein YfdT	UNCHARACTERIZED	yfdT // yfdS // yfdR	b2363
ffh	b2610	2746434	2747795	signal recognition particle protein component	WELL-CHARACTERIZED	ffh	b2610
rseA	b2572	2708754	2709404	anti-sigma-E factor RseA	WELL-CHARACTERIZED	rseD // rseC // rseB // rseA // rpoE	b2572
srlB	b2704	2827362	2827733	sorbitol-specific PTS enzyme IIA component	WELL-CHARACTERIZED	srlA // srlE // srlB // srlD // gutM // gutQ // srlR	b2704
yegV	b2100	2181096	2182061	putative sugar kinase YegV	PARTIAL	yegV // yegU // yegT	b2100
rcnR	b2105	2185524	2185796	DNA-binding transcriptional repressor RcnR	PARTIAL	rcnR	b2105
emrA	b2685	2811427	2812599	multidrug efflux pump membrane fusion protein EmrA	WELL-CHARACTERIZED	mprA // emrA // emrB	b2685
rpmE	b3936	4127013	4127225	50S ribosomal subunit protein L31	WELL-CHARACTERIZED	rpmE	b3936
cyoB	b0431	448650	450641	cytochrome <i>bo</i><sub>3</sub> subunit 1	WELL-CHARACTERIZED	cyoE // cyoD // cyoC // cyoB // cyoA	b0431
ygeF	b2850	2990554	2991043	protein YgeF		ygeF	b2850
yqcC	b2792	2923784	2924113	DUF446 domain-containing protein YqcC	UNCHARACTERIZED	yqcC // truC // yqcA	b2792
paaI	b1396	1460471	1460893	phenylacetyl-CoA thioesterase	PARTIAL	paaK // paaI // paaH // paaG // paaF // paaE // paaD // paaC // paaB // paaA // paaJ	b1396
yhfA	b3356	3485414	3485818	OsmC family protein YhfA	UNCHARACTERIZED	yhfA	b3356
cydC	b0886	927474	929195	heme ABC transporter subunit CydC	WELL-CHARACTERIZED	cydC // cydD	b0886
lsrR	b1512	1600288	1601241	DNA-binding transcriptional repressor LsrR	WELL-CHARACTERIZED	lsrR // lsrK	b1512
stfZ	b4840	104948	105499	small antisense RNA StfZ	WELL-CHARACTERIZED	stfZ	b4840
purD	b4005	4204642	4205931	phosphoribosylamine--glycine ligase	WELL-CHARACTERIZED	purD // purH	b4005
sokE	b4835	607733	607792	small RNA SokE	PARTIAL	sokE	b4835
gfcE	b0983	1044664	1045803	putative exopolysaccharide export lipoprotein GfcE	PARTIAL	gfcE // etp // etk	b0983
trmJ	b2532	2662583	2663323	tRNA Cm32/Um32 methyltransferase	WELL-CHARACTERIZED	trmJ	b2532
malG	b4032	4242626	4243516	maltose ABC transporter membrane subunit MalG	WELL-CHARACTERIZED	malH // malG // malF // malE	b4032
yjcE	b4065	4279980	4281629	putative transporter YjcE	PARTIAL	yjcE	b4065
emtA	b1193	1243180	1243791	lytic murein transglycosylase E	WELL-CHARACTERIZED	emtA	b1193
leuD	b0071	78848	79453	3-isopropylmalate dehydratase subunit LeuD	WELL-CHARACTERIZED	leuD // leuC // leuB // leuA // leuL	b0071
yafS	b0213	234816	235538	putative S-adenosyl-L-methionine-dependent methyltransferase	PARTIAL	yafS	b0213
yfdQ	b2360	2474032	2474856	CPS-53 (KpLE1) prophage; DUF2303 domain-containing protein YfdQ	PARTIAL	yfdQ // yfdP	b2360
rplU	b3186	3333140	3333451	50S ribosomal subunit protein L21	WELL-CHARACTERIZED	obgE // yhbE // rpmA // rplU	b3186
b2596	b2596	2736913	2737119				b2596
yriB	b4792	3640643	3640696	protein YriB	UNCHARACTERIZED		b4792
yigA	b3810	3995583	3996290	DUF484 domain-containing protein YigA	UNCHARACTERIZED	yigB // xerC // yigA // dapF // lptM	b3810
ytjB	b4387	4624145	4624789	probable inner membrane protein Smp	PARTIAL	lplA // ytjB	b4387
yncP	b4774	1491876	1491944	protein YncP	UNCHARACTERIZED		b4774
yidG	b3675	3855608	3855970	inner membrane protein YidG	UNCHARACTERIZED	yidH // yidG // yidF	b3675
mdtN	b4082	4303078	4304109	putative multidrug efflux pump membrane fusion protein	WELL-CHARACTERIZED	mdtN // mdtO // mdtP	b4082
cdsA	b0175	195677	196534	CDP-diglyceride synthetase	WELL-CHARACTERIZED	ispZ // dxr // cdsA // ispU	b0175
dgkA	b4042	4256637	4257005	diacylglycerol kinase	WELL-CHARACTERIZED	dgkA	b4042
asnT	b1977	2044549	2044624	tRNA-Asn(GUU)	WELL-CHARACTERIZED	asnT	b1977
ybdZ	b4511	613942	614160	enterobactin biosynthesis protein YbdZ	PARTIAL	ybdZ // fes // entF // fepE	b4511
yoaK	b4676	1878773	1878871	uncharacterized membrane protein YoaK	UNCHARACTERIZED		b4676
yjbM	b4048	4260599	4261306	DUF2713 domain-containing protein YjbM	UNCHARACTERIZED	yjbM // yjbL	b4048
yeaG	b1783	1866908	1868842	protein kinase YeaG	WELL-CHARACTERIZED	yeaH // yeaG	b1783
ybdK	b0581	606265	607383	putative glutamate&mdash;cysteine ligase 2	PARTIAL	ybdK	b0581
hemN	b3867	4052045	4053418	coproporphyrinogen III dehydrogenase	WELL-CHARACTERIZED	hemN	b3867
insI1	b0256	270603	271754	IS30 transposase	WELL-CHARACTERIZED	insI1 // insN	b0256
uhpA	b3669	3850136	3850726	UhpA-Phosphorylated // DNA-binding transcriptional activator UhpA	WELL-CHARACTERIZED	ilvN // ilvB // ivbL // uhpC // uhpB // uhpA	b3669
thiC	b3994	4194204	4196099	phosphomethylpyrimidine synthase	WELL-CHARACTERIZED	thiS // thiH // thiG // thiF // thiE // thiC	b3994
3'ETS-<i>leuZ</i>	b4759	1991748	1991814	small regulatory RNA 3'ETS<sup><i>leuZ</i></sup>	WELL-CHARACTERIZED	3'ETS-<i>leuZ</i> // leuZ // cysT // glyW	b4759
yegI	b2070	2149039	2150985	putative serine/threonine-protein kinase YegI	PARTIAL	yegI	b2070
glnX	b0664	696430	696504	tRNA-Gln(CUG)	WELL-CHARACTERIZED	glnX // glnV // metU // glnW // glnU // leuW // metT	b0664
flhB	b1880	1965043	1966191	flagellar biosynthesis protein FlhB	WELL-CHARACTERIZED	flhE // flhA // flhB	b1880
serW	b0883	925884	925971	tRNA-Ser(GGA)	WELL-CHARACTERIZED	infA // serW	b0883
yhbE	b3184	3331770	3332735	putative transporter YhbE	PARTIAL	obgE // yhbE // rpmA // rplU	b3184
yehD	b2111	2191680	2192222	putative fimbrial protein YehD	PARTIAL	yehD // yehC // yehB // yehA	b2111
tufA	b3339	3470145	3471329	translation elongation factor Tu 1	PARTIAL	rpsG // rpsL // fusA // tufA	b3339
rirA	b4760	3808166	3808238	small regulatory RNA RirA	PARTIAL	rirA // waaY // waaJ // waaO // waaB // waaS // waaP // waaG // waaQ // waaU // waaZ	b4760
dapE	b2472	2591607	2592734	succinyl-diaminopimelate desuccinylase	WELL-CHARACTERIZED	ypfN // dapE // yffB	b2472
cysT	b1910	1991914	1991987	tRNA-Cys(GCA)	WELL-CHARACTERIZED	3'ETS-<i>leuZ</i> // leuZ // cysT // glyW	b1910
citT	b0612	645117	646580	citrate:succinate antiporter	WELL-CHARACTERIZED	citT	b0612
yriA	b4791	3640612	3640686	protein YriA	UNCHARACTERIZED		b4791
ptrA	b2821	2955996	2958884	protease 3	WELL-CHARACTERIZED	recB // recD // ptrA	b2821
gpsA	b3608	3782642	3783661	glycerol-3-phosphate dehydrogenase	WELL-CHARACTERIZED	yibN // secB // gpsA // grxC	b3608
allB	b0512	539147	540508	allantoinase	WELL-CHARACTERIZED	glxK // ybbY // allW // glxR // hyi // gcl // allB	b0512
inaA	b2237	2348822	2349472	putative lipopolysaccharide kinase InaA	PARTIAL	inaA	b2237
umpH	b0675	699574	700326	UMP phosphatase	WELL-CHARACTERIZED	umpH // nagC // nagA // nagB	b0675
yqgH	b4785	3109317	3109400	protein YqgH	UNCHARACTERIZED		b4785
ybfD	b0706	738092	738853	H repeat-associated putative transposase YbfD	PARTIAL	ybfD	b0706
marC	b1529	1618243	1618908	inner membrane protein MarC	UNCHARACTERIZED	marC	b1529
acrF	b3266	3415033	3418137	multidrug efflux pump RND permease AcrF	WELL-CHARACTERIZED	acrE // acrF	b3266
thrV	b3273	3423580	3423655	tRNA-Thr(GGU)	WELL-CHARACTERIZED	rrfF // thrV // rrfD // rrlD // alaU // ileU // rrsD	b3273
smpB	b2620	2754896	2755378	SsrA-binding protein	WELL-CHARACTERIZED	smpB	b2620
ybaQ	b0483	508218	508559	DNA-binding transcriptional regulator YbaQ	PARTIAL	ybaQ	b0483
rsfS	b0637	668719	669036	ribosomal silencing factor RsfS	WELL-CHARACTERIZED	rsfS // rlmH // mrdA // mrdB // rlpA	b0637
rplD	b3319	3451681	3452286	50S ribosomal subunit protein L4	WELL-CHARACTERIZED	rpsQ // rpmC // rplP // rpsC // rplV // rpsS // rplB // rplW // rplD // rplC // rpsJ	b3319
ycjD	b1289	1351407	1351760	DUF559 domain-containing protein YcjD	UNCHARACTERIZED	ycjD	b1289
gatC	b2092	2172921	2174278	galactitol-specific PTS enzyme IIC component		gatD // gatC // gatB // gatA // gatZ // gatY	b2092
rplR	b3304	3445244	3445597	50S ribosomal subunit protein L18	WELL-CHARACTERIZED	rpmJ // secY // rplO // rpmD // rpsE // rplR // rplF // rpsH // rpsN // rplE // rplX // rplN	b3304
rsmC	b4371	4606669	4607700	16S rRNA m<sup>2</sup>G1207 methyltransferase	WELL-CHARACTERIZED	rsmC	b4371
hcaF	b2539	2670390	2670908	putative 3-phenylpropionate/cinnamate dioxygenase subunit &beta;	WELL-CHARACTERIZED	hcaD // hcaB // hcaC // hcaF // hcaE	b2539
hypT	b4327	4557378	4558289	DNA-binding transcriptional dual regulator HypT	WELL-CHARACTERIZED	hypT	b4327
bluR	b1162	1213328	1214059	DNA-binding transcriptional repressor BluR	WELL-CHARACTERIZED	bluR	b1162
torR	b0995	1057262	1057954	DNA-binding transcriptional dual regulator TorR	WELL-CHARACTERIZED	torR	b0995
allS	b0504	531295	532221	DNA-binding transcriptional activator AllS	WELL-CHARACTERIZED	allS	b0504
nudL	b1813	1896170	1896748	putative NUDIX hydrolase with low 3-phosphohydroxypyruvate phosphatase activity	PARTIAL	nudL // pabB	b1813
ybgQ	b0718	749722	752169	putative fimbrial usher protein YbgQ	PARTIAL	ybgQ // ybgP // ybgO	b0718
fixX	b0044	45463	45750	putative ferredoxin FixX	PARTIAL	fixX // fixC // fixB // fixA	b0044
setA	b0070	77621	78799	sugar exporter SetA	WELL-CHARACTERIZED	sgrT // setA // sgrS	b0070
deoC	b4381	4617323	4618102	deoxyribose-phosphate aldolase	WELL-CHARACTERIZED	deoC // deoA // deoB // deoD	b4381
ytfP	b4222	4447894	4448235	&gamma;-glutamylamine cyclotransferase family protein YtfP	UNCHARACTERIZED	ytfP // tamB // tamA	b4222
yfeH	b2410	2526946	2527944	putative solute:Na<sup>+</sup> symporter	PARTIAL	yfeH	b2410
pepN	b0932	990622	993234	aminopeptidase N	WELL-CHARACTERIZED	pepN	b0932
yzcX	b3808	3993850	3994335	protein YzcX	UNCHARACTERIZED	yzcX	b3808
malM	b4037	4249554	4250474	maltose regulon periplasmic protein	PARTIAL	malK // lamB // malM	b4037
ydiP	b1696	1778390	1779301	DNA-binding transcriptional regulator YdiP	PARTIAL	ydiP	b1696
rlpA	b0633	664102	665190	rare lipoprotein RlpA	PARTIAL	rsfS // rlmH // mrdA // mrdB // rlpA	b0633
yihR	b3879	4069475	4070401	putative sulfoquinovose mutarotase YihR	PARTIAL	yihR	b3879
yqhA	b3002	3148977	3149471	UPF0114 family protein YqhA	UNCHARACTERIZED	yqhA	b3002
aslB	b3800	3982958	3984193	putative anaerobic sulfatase maturation enzyme AslB	PARTIAL	aslB	b3800
ubiI	b2906	3051115	3052317	2-octaprenylphenol 6-hydroxylase	WELL-CHARACTERIZED	ygfB // pepP // ubiH // ubiI	b2906
tfaS	b2353	2470803	2471105			tfaS	b2353
talA	b2464	2578666	2579616	transaldolase A	PARTIAL	tktB // talA	b2464
cbtA	b2005	2077569	2077943	CP4-44 prophage; cytoskeleton-binding toxin CbtA	WELL-CHARACTERIZED	yeeW // cbtA // cbeA // yeeT // yeeS // yeeR	b2005
b0609	b0609	643407	643868				b0609
cspC	b1823	1907226	1907435	transcription antiterminator and regulator of mRNA stability CspC	WELL-CHARACTERIZED	yobF // cspC	b1823
yidA	b3697	3876140	3876952	sugar phosphatase YidA	WELL-CHARACTERIZED	yidA	b3697
ydiM	b1690	1771071	1772285	putative exporter YdiM	PARTIAL	ydiM	b1690
ibsA	b4667	2153349	2153408	toxic peptide IbsA	PARTIAL		b4667
fliA	b1922	2001070	2001789	RNA polymerase sigma factor FliA	WELL-CHARACTERIZED	fliZ // fliA // tcyJ	b1922
fpr	b3924	4113726	4114472	flavodoxin/ferredoxin-NADP<sup>+</sup> reductase	WELL-CHARACTERIZED	fpr	b3924
insA4	b4516	1049833	1050108	IS1 protein InsA	UNCHARACTERIZED	insB4 // insA4 // insAB4	b4516
yhdT	b3257	3407375	3407617	DUF997 domain-containing protein YhdT	UNCHARACTERIZED	yhdT // panF // prmA	b3257
fadK	b1701	1782977	1784677	medium-chain-fatty-acid&mdash;CoA ligase	WELL-CHARACTERIZED	fadK // ydiT // ydiS // ydiR // ydiQ	b1701
yggP	b4465	3076179	3077456	putative zinc-binding dehydrogenase YggP	PARTIAL	cmtB // cmtA // yggP // yggF // yggC // fumE	b4465
mscK	b0465	486536	489898	potassium dependent, small conductance mechanosensitive channel	WELL-CHARACTERIZED	mscK	b0465
intD	b0537	564815	565978	DLP12 prophage; putative integrase	PARTIAL	intD	b0537
dpiB	b0619	652235	653893	DpiB-<i>N</i>-phospho-L-histidine // sensor histidine kinase DpiB	WELL-CHARACTERIZED	dpiA // dpiB	b0619
ybaE	b0445	465612	467312	uncharacterized protein YbaE	UNCHARACTERIZED	ybaE	b0445
ychO	b1220	1273784	1275178	putative invasin YchO	PARTIAL	ychO	b1220
ynbE	b1382	1445687	1445872	lipoprotein YnbE	UNCHARACTERIZED	ydbL // ynbE // ydbH	b1382
mhpB	b0348	370277	371221	3-carboxyethylcatechol 2,3-dioxygenase	WELL-CHARACTERIZED	mhpF // mhpE // mhpD // mhpC // mhpB // mhpA	b0348
